key,cz,en,ch
germanic_city_1,寂静之原,Silent Plain,寂靜之原
germanic_city_2,绿溪村,Green Stream Village,綠溪村
germanic_city_3,晨雾村,Morning Mist Village,晨霧村
germanic_city_4,白羽村,White Feather Village,白羽村
germanic_city_5,石丘村,Stone Hill Village,石丘村
germanic_city_6,落松村,Falling Pine Village,落松村
germanic_city_7,金雀村,Golden Sparrow Village,金雀村
germanic_city_8,风铃村,Wind Bell Village,風鈴村
germanic_city_9,银露村,Silver Dew Village,銀露村
germanic_city_10,杉木村,Cedar Wood Village,杉木村
germanic_city_11,鸦啼村,Crow Caw Village,鴉啼村
germanic_city_12,古树村,Ancient Tree Village,古樹村
germanic_city_13,幽泉村,Secluded Spring Village,幽泉村
germanic_city_14,苍叶村,Pale Leaf Village,蒼葉村
germanic_city_15,暮风村,Dusk Wind Village,暮風村
germanic_city_16,岩岭村,Rock Ridge Village,岩嶺村
germanic_city_17,雨鹿村,Rain Deer Village,雨鹿村
germanic_city_18,晨歌村,Morning Song Village,晨歌村
germanic_city_19,麦穗村,Wheat Ear Village,麥穗村
germanic_city_20,碧泉村,Green Spring Village,碧泉村
germanic_city_21,翠藤村,Emerald Vine Village,翠藤村
germanic_city_22,灰石镇,Grey Stone Town,灰石鎮
germanic_city_23,月光镇,Moonlight Town,月光鎮
germanic_city_24,青湖镇,Blue Lake Town,青湖鎮
germanic_city_25,雾谷镇,Fog Valley Town,霧谷鎮
germanic_city_26,风歌镇,Wind Song Town,風歌鎮
germanic_city_27,苍岭镇,Pale Ridge Town,蒼嶺鎮
germanic_city_28,赤丘镇,Red Hill Town,赤丘鎮
germanic_city_29,松影镇,Pine Shadow Town,松影鎮
germanic_city_30,夜莺镇,Nightingale Town,夜鶯鎮
germanic_city_31,铁铃镇,Iron Bell Town,鐵鈴鎮
germanic_city_32,长溪镇,Long Stream Town,長溪鎮
germanic_city_33,金橡镇,Golden Oak Town,金橡鎮
germanic_city_34,落羽镇,Falling Feather Town,落羽鎮
germanic_city_35,霜露镇,Frost Dew Town,霜露鎮
germanic_city_36,雷泉镇,Thunder Spring Town,雷泉鎮
germanic_city_37,影树镇,Shadow Tree Town,影樹鎮
germanic_city_38,青雀镇,Blue Sparrow Town,青雀鎮
germanic_city_39,暮云镇,Dusk Cloud Town,暮雲鎮
germanic_city_40,星辉镇,Starlight Town,星輝鎮
germanic_city_41,远歌镇,Distant Song Town,遠歌鎮
germanic_city_42,白塔城,White Tower City,白塔城
germanic_city_43,王冠城,Crown City,王冠城
germanic_city_44,远星城,Distant Star City,遠星城
germanic_city_45,黄金城,Golden City,黃金城
germanic_city_46,雷鸣城,Thunder City,雷鳴城
germanic_city_47,晨曦城,Dawn City,晨曦城
germanic_city_48,落霞城,Sunset Glow City,落霞城
germanic_city_49,古堡城,Ancient Castle City,古堡城
germanic_city_50,风吟城,Wind Chant City,風吟城
