key,cz,en,ch
Slavonic_country1,别洛格勒,Belgorod,別洛格勒
Slavonic_country2,切尔诺戈尔斯克,Chernogorsk,切爾諾戈爾斯克
Slavonic_country3,诺夫哥罗德,Novgorod,諾夫哥羅德
Slavonic_country4,斯塔罗格勒,Starogorod,斯塔羅格勒
Slavonic_country5,泽莱诺波尔,Zelenopol,澤萊諾波爾
Slavonic_country6,克拉斯诺达尔,Krasnodar,克拉斯諾達爾
Slavonic_country7,斯韦特洛格勒,Svetlogorod,斯韋特洛格勒
Slavonic_country8,捷姆诺斯克,Temnosk,捷姆諾斯克
Slavonic_country9,维索基波尔,Vysokypol,維索基波爾
Slavonic_country10,尼兹尼列斯,Nizhnyles,尼茲尼列斯
Slavonic_country11,德拉科夫格拉德,Drakovgrad,德拉科夫格拉德
Slavonic_country12,沃尔奇斯克,Volchiysk,沃爾奇斯克
Slavonic_country13,索科利诺,Sokolino,索科利諾
Slavonic_country14,马吉奇斯克,Magichsk,馬吉奇斯克
Slavonic_country15,特内沃,Tenevo,特內沃
Slavonic_country16,斯韦特米尔,Svetmir,斯韋特米爾
Slavonic_country17,贝尔莫尔,Belmor,貝爾莫爾
Slavonic_country18,切尔诺列卡,Chernoreka,切爾諾列卡
Slavonic_country19,诺沃卡缅,Novokamen,諾沃卡緬
Slavonic_country20,斯塔罗沃尔,Starovol,斯塔羅沃爾
Slavonic_country21,泽伦斯基,Zelensky,澤倫斯基
Slavonic_country22,克拉斯诺沃德,Krasnovod,克拉斯諾沃德
Slavonic_country23,斯韦特洛列斯,Svetloles,斯韋特洛列斯
Slavonic_country24,捷姆诺多利,Temnodoly,捷姆諾多利
Slavonic_country25,维索科沃,Vysokovo,維索科沃
Slavonic_country26,尼兹赫斯克,Nizhesk,尼茲赫斯克
Slavonic_country27,别洛沃尔,Belovol,別洛沃爾
Slavonic_country28,切尔诺索科尔,Chernosokol,切爾諾索科爾
Slavonic_country29,诺沃特内,Novoten,諾沃特內
Slavonic_country30,斯塔罗马格,Staromag,斯塔羅馬格
Slavonic_country31,泽莱诺米尔,Zelenomir,澤萊諾米爾
Slavonic_country32,克拉斯诺斯韦特,Krasnosvet,克拉斯諾斯韋特
Slavonic_country33,斯韦特洛卡缅,Svetlokamen,斯韋特洛卡緬
Slavonic_country34,捷姆诺沃德,Temnovod,捷姆諾沃德
