key,cz,en,ch
aztec_family_1,森林,Forest,森林
aztec_family_2,海洋,Ocean,海洋
aztec_family_3,沙漠,Desert,沙漠
aztec_family_4,绿洲,Oasis,綠洲
aztec_family_5,荒原,Wasteland,荒原
aztec_family_6,山脉,Mountain,山脈
aztec_family_7,沼泽,Swamp,沼澤
aztec_family_8,祖灵,Ancestor,祖靈
aztec_family_9,大河,Great River,大河
aztec_family_10,太阳,Sun,太陽
aztec_family_11,月亮,Moon,月亮
aztec_family_12,星辰,Star,星辰
aztec_family_13,星座,Constellation,星座
aztec_family_14,极光,Aurora,極光
aztec_family_15,冰雪,Ice Snow,冰雪
aztec_family_16,雷霆,Thunder,雷霆
aztec_family_17,风暴,Storm,風暴
aztec_family_18,自然,Nature,自然
aztec_family_19,神兽,Divine Beast,神獸
aztec_family_20,图腾,Totem,圖騰
aztec_family_21,智慧,Wisdom,智慧
aztec_family_22,知识,Knowledge,知識
aztec_family_23,先知,Prophet,先知
aztec_family_24,理性,Reason,理性
aztec_family_25,金属,Metal,金屬
aztec_family_26,器物,Artifact,器物
aztec_family_27,天外,Space,天外
aztec_family_28,火焰,Flame,火焰
aztec_family_29,圣火,Sacred Fire,聖火
aztec_family_30,苦难,Suffering,苦難
aztec_family_31,地母,Earth Mother,地母
aztec_family_32,光明,Light,光明
aztec_family_33,冥界,Underworld,冥界
aztec_family_34,死亡,Death,死亡
aztec_family_35,生命,Life,生命
aztec_family_36,灵魂,Soul,靈魂
aztec_family_37,圣山,Sacred Mountain,聖山
aztec_family_38,神木,Sacred Tree,神木
aztec_family_39,山川,Mountain River,山川
aztec_family_40,精魅,Spirit,精魅
aztec_family_41,心灵,Mind,心靈
aztec_family_42,魔法,Magic,魔法
aztec_family_43,巫术,Witchcraft,巫術
aztec_family_44,灵能,Psionic,靈能
aztec_family_45,黎明,Dawn,黎明
aztec_family_46,银河,Galaxy,銀河
aztec_family_47,英灵,Heroic Spirit,英靈
aztec_family_48,古神,Ancient God,古神
aztec_family_49,外神,Outer God,外神
aztec_family_50,旧日,Old Ones,舊日
aztec_family_51,群星,Star Cluster,群星
aztec_family_52,古代,Ancient Times,古代
aztec_family_53,废墟,Ruins,廢墟
aztec_family_54,海怪,Sea Monster,海怪
aztec_family_55,天空,Sky,天空
aztec_family_56,雪山,Snow Mountain,雪山
aztec_family_57,永生,Eternal Life,永生
aztec_family_58,梦境,Dream,夢境
aztec_family_59,心灵,Psychic Adoration,心靈
aztec_family_60,美梦,Beautiful Dream,美夢
aztec_family_61,创生,Creation,創生
aztec_family_62,兽欲,Bestial Desire,獸慾
aztec_family_63,爱情,Love,愛情
aztec_family_64,差异,Difference,差異
aztec_family_65,美,Aesthetics,美
aztec_family_66,文明,Civilization,文明
aztec_family_67,奉献,Devotion,奉獻
aztec_family_68,均衡,Balance,均衡
aztec_family_69,生存,Survival,生存
aztec_family_70,适应,Adaptation,適應
aztec_family_71,力量,Strength,力量
aztec_family_72,暴力,Violence,暴力
aztec_family_73,威权,Authority,威權
aztec_family_74,变化,Change,變化
aztec_family_75,超越,Transcendence,超越
aztec_family_76,嬗变,Metamorphosis,嬗變
aztec_family_77,错误,Error,錯誤
aztec_family_78,禁忌,Taboo,禁忌
aztec_family_79,黄昏,Dusk,黃昏
aztec_family_80,虚无,Nothingness,虛無
aztec_family_81,奇迹,Miracle,奇蹟
aztec_family_82,玩家,Player,玩家
aztec_family_83,黑石碑,Black Stele,黑石碑
