key,cz,en,ch
arab_male1_1,法蒂玛,Fatima,法蒂瑪
arab_male1_2,阿伊莎,Aisha,阿伊莎
arab_male1_3,玛丽亚姆,Mariam,瑪麗亞姆
arab_male1_4,扎伊纳布,Zainab,扎伊納布
arab_male1_5,莱拉,Laila,萊拉
arab_male1_6,阿玛尔,Amal,阿瑪爾
arab_male1_7,贾米拉,Jamila,賈米拉
arab_male1_8,哈娜,Hana,哈娜
arab_male1_9,萨拉,Sara,薩拉
arab_male1_10,努尔,Noor,努爾
arab_male1_11,拉尼娅,Rania,拉尼婭
arab_male1_12,亚斯明,Yasmin,亞斯明
arab_male1_13,玛伊萨,Maisa,瑪伊薩
arab_male1_14,达莉亚,Dalia,達莉亞
arab_male1_15,苏阿德,Suad,蘇阿德
arab_male1_16,阿米拉,Amira,阿米拉
arab_male1_17,巴希拉,Bahira,巴希拉
arab_male1_18,迪玛,Dima,迪瑪
arab_male1_19,加达,Ghada,加達
arab_male1_20,哈拉,Hala,哈拉
arab_male1_21,伊曼,Iman,伊曼
arab_male1_22,贾娜,Janna,賈娜
arab_male1_23,卡里玛,Karima,卡里瑪
arab_male1_24,拉米亚,Lamia,拉米亞
arab_male1_25,玛雅,Maya,瑪雅
arab_male1_26,娜丁,Nadeen,娜丁
arab_male1_27,拉娜,Rana,拉娜
arab_male1_28,萨马尔,Samar,薩馬爾
arab_male1_29,塔斯尼姆,Tasnim,塔斯尼姆
arab_male1_30,乌姆,Umm,烏姆
arab_male1_31,瓦法,Wafa,瓦法
arab_male1_32,优素拉,Yusra,優素拉
arab_male1_33,扎赫拉,Zahra,扎赫拉
arab_male1_34,阿比尔,Abeer,阿比爾
arab_male1_35,阿迪拉,Adila,阿迪拉
arab_male1_36,阿菲法,Afifa,阿菲法
arab_male1_37,阿西娅,Asia,阿西婭
arab_male1_38,艾莎,Aisha,艾莎
arab_male1_39,阿雅,Aya,阿雅
arab_male1_40,巴图尔,Batoul,巴圖爾
arab_male1_41,布什拉,Bushra,布希拉
arab_male1_42,达娜,Dana,達娜
arab_male1_43,法耶,Faye,法耶
arab_male1_44,法里达,Farida,法里達
arab_male1_45,加尼娅,Ghania,加尼婭
arab_male1_46,哈南,Hanan,哈南
arab_male1_47,哈斯娜,Hasna,哈斯娜
arab_male1_48,希巴,Hiba,希巴
arab_male1_49,希琳,Shireen,希琳
arab_male1_50,胡达,Huda,胡達
arab_male1_51,伊克拉姆,Ikram,伊克拉姆
arab_male1_52,因蒂萨尔,Intisar,因蒂薩爾
arab_male1_53,贾瓦希尔,Jawahir,賈瓦希爾
arab_male1_54,卡米拉,Kamila,卡米拉
arab_male1_55,拉希达,Rashida,拉希達
arab_male1_56,卢布娜,Lubna,盧布娜
arab_male1_57,玛吉达,Majida,瑪吉達
arab_male1_58,玛娜尔,Manal,瑪娜爾
arab_male1_59,玛瓦,Mawa,瑪瓦
arab_male1_60,米拉,Mira,米拉
arab_male1_61,娜比拉,Nabila,娜比拉
arab_male1_62,娜吉玛,Najma,娜吉瑪
arab_male1_63,娜瓦勒,Nawal,娜瓦勒
arab_male1_64,拉莎,Rasha,拉莎
arab_male1_65,鲁兹,Ruz,魯茲
arab_male1_66,萨哈尔,Sahar,薩哈爾
arab_male1_67,萨利玛,Salima,薩利瑪
arab_male1_68,莎伊玛,Shaima,莎伊瑪
arab_male1_69,苏海尔,Suheil,蘇海爾
arab_male1_70,苏玛雅,Sumaya,蘇瑪雅
arab_male1_71,塔玛拉,Tamara,塔瑪拉
arab_male1_72,塔斯利姆,Tasleem,塔斯利姆
arab_male1_73,乌苏拉,Ursula,烏蘇拉
arab_male1_74,瓦达,Widad,瓦達
arab_male1_75,亚拉,Yara,亞拉
arab_male1_76,扎伊娜,Zaina,扎伊娜
arab_male1_77,阿法夫,Afaf,阿法夫
arab_male1_78,阿米娜,Amina,阿米娜
arab_male1_79,阿纳姆,Anam,阿納姆
arab_male1_80,阿鲁布,Arub,阿魯布
arab_male1_81,阿西尔,Asir,阿西爾
arab_male1_82,阿提卡,Atika,阿提卡
arab_male1_83,巴娜,Bana,巴娜
arab_male1_84,巴西玛,Basima,巴西瑪
arab_male1_85,达利亚,Dalia,達利亞
arab_male1_86,法德瓦,Fadwa,法德瓦
arab_male1_87,法里哈,Fariha,法里哈
arab_male1_88,哈尼娅,Hania,哈尼婭
arab_male1_89,哈桑,Hassan,哈桑
arab_male1_90,海法,Haifa,海法
arab_male1_91,希芭,Heba,希芭
arab_male1_92,胡萨姆,Hossam,胡薩姆
arab_male1_93,莱娜,Lena,萊娜
arab_male1_94,玛哈,Maha,瑪哈
arab_male1_95,玛莉卡,Malika,瑪莉卡
arab_male1_96,玛娜,Mana,瑪娜
arab_male1_97,玛雅姆,Mayam,瑪雅姆
arab_male1_98,米莱德,Millad,米萊德
arab_male1_99,娜迪娅,Nadia,娜迪婭
arab_male1_100,娜吉娃,Najwa,娜吉娃
arab_male1_101,娜瓦,Nawa,娜瓦
arab_male1_102,拉伊德,Raid,拉伊德
arab_male1_103,鲁卡娅,Rukayya,魯卡婭
arab_male1_104,萨比尔,Sabir,薩比爾
arab_male1_105,莎拉,Sarah,莎拉
arab_male1_106,苏珊,Susan,蘇珊
arab_male1_107,塔哈妮,Tahani,塔哈妮
arab_male1_108,塔莉娅,Talia,塔莉婭
arab_male1_109,乌姆尼亚,Ummnia,烏姆尼亞
arab_male1_110,亚斯米娜,Yasmina,亞斯米娜
arab_male1_111,扎基娅,Zakiyya,扎基婭
arab_male1_112,阿迪勒,Adil,阿迪勒
arab_male1_113,阿法克,Afak,阿法克
arab_male1_114,阿玛尼,Amani,阿瑪尼
arab_male1_115,阿纳,Ana,阿納
arab_male1_116,阿西玛,Asima,阿西瑪
arab_male1_117,阿提亚,Attia,阿提亞
arab_male1_118,巴希亚,Bahia,巴希亞
arab_male1_119,法伊扎,Faiza,法伊扎
arab_male1_120,加桑,Ghassan,加桑
arab_male1_121,哈迪亚,Hadiya,哈迪亞
arab_male1_122,哈菲扎,Hafiza,哈菲扎
arab_male1_123,哈尼,Hani,哈尼
arab_male1_124,海迪,Haidi,海迪
arab_male1_125,海拉,Hayla,海拉
arab_male1_126,希娜,Hina,希娜
arab_male1_127,伊娜斯,Inas,伊娜斯
arab_male1_128,因提萨尔,Intisar,因提薩爾
arab_male1_129,贾莱拉,Jalila,賈萊拉
arab_male1_130,拉娜,Rana,拉娜
arab_male1_131,卢艾,Lua,盧艾
arab_male1_132,玛吉德,Majid,瑪吉德
arab_male1_133,玛纳尔,Manar,瑪納爾
arab_male1_134,米拉尔,Miral,米拉爾
arab_male1_135,娜比哈,Nabiha,娜比哈
arab_male1_136,娜吉,Naji,娜吉
arab_male1_137,娜迪娜,Nadina,娜迪娜
arab_male1_138,鲁巴,Ruba,魯巴
arab_male1_139,鲁卡亚,Rukaya,魯卡亞
arab_male1_140,塔莉亚,Talia,塔莉亞
arab_male1_141,乌姆,Umm,烏姆
arab_male1_142,瓦达,Wada,瓦達
arab_male1_143,亚拉,Yara,亞拉
arab_male1_144,扎赫拉,Zahra,扎赫拉
arab_male1_145,扎伊纳,Zaina,扎伊納
