key,cz,en,ch
aztec_clan_1,森林,Forest,森林
aztec_clan_2,海洋,Ocean,海洋
aztec_clan_3,沙漠,Desert,沙漠
aztec_clan_4,绿洲,Oasis,綠洲
aztec_clan_5,荒原,Wasteland,荒原
aztec_clan_6,山脉,Mountain,山脈
aztec_clan_7,沼泽,Swamp,沼澤
aztec_clan_8,祖灵,Ancestor,祖靈
aztec_clan_9,大河,Great River,大河
aztec_clan_10,太阳,Sun,太陽
aztec_clan_11,月亮,Moon,月亮
aztec_clan_12,星辰,Star,星辰
aztec_clan_13,星座,Constellation,星座
aztec_clan_14,极光,Aurora,極光
aztec_clan_15,冰雪,Ice Snow,冰雪
aztec_clan_16,雷霆,Thunder,雷霆
aztec_clan_17,风暴,Storm,風暴
aztec_clan_18,自然,Nature,自然
aztec_clan_19,神兽,Divine Beast,神獸
aztec_clan_20,图腾,Totem,圖騰
aztec_clan_21,智慧,Wisdom,智慧
aztec_clan_22,知识,Knowledge,知識
aztec_clan_23,先知,Prophet,先知
aztec_clan_24,理性,Reason,理性
aztec_clan_25,金属,Metal,金屬
aztec_clan_26,器物,Artifact,器物
aztec_clan_27,天外,Space,天外
aztec_clan_28,火焰,Flame,火焰
aztec_clan_29,圣火,Sacred Fire,聖火
aztec_clan_30,苦难,Suffering,苦難
aztec_clan_31,地母,Earth Mother,地母
aztec_clan_32,光明,Light,光明
aztec_clan_33,冥界,Underworld,冥界
aztec_clan_34,死亡,Death,死亡
aztec_clan_35,生命,Life,生命
aztec_clan_36,灵魂,Soul,靈魂
aztec_clan_37,圣山,Sacred Mountain,聖山
aztec_clan_38,神木,Sacred Tree,神木
aztec_clan_39,山川,Mountain River,山川
aztec_clan_40,精魅,Spirit,精魅
aztec_clan_41,心灵,Mind,心靈
aztec_clan_42,魔法,Magic,魔法
aztec_clan_43,巫术,Witchcraft,巫術
aztec_clan_44,灵能,Psionic,靈能
aztec_clan_45,黎明,Dawn,黎明
aztec_clan_46,银河,Galaxy,銀河
aztec_clan_47,英灵,Heroic Spirit,英靈
aztec_clan_48,古神,Ancient God,古神
aztec_clan_49,外神,Outer God,外神
aztec_clan_50,旧日,Old Ones,舊日
aztec_clan_51,群星,Star Cluster,群星
aztec_clan_52,古代,Ancient Times,古代
aztec_clan_53,废墟,Ruins,廢墟
aztec_clan_54,海怪,Sea Monster,海怪
aztec_clan_55,天空,Sky,天空
aztec_clan_56,雪山,Snow Mountain,雪山
aztec_clan_57,永生,Eternal Life,永生
aztec_clan_58,梦境,Dream,夢境
aztec_clan_59,心灵,Psychic Adoration,心靈
aztec_clan_60,美梦,Beautiful Dream,美夢
aztec_clan_61,创生,Creation,創生
aztec_clan_62,兽欲,Bestial Desire,獸慾
aztec_clan_63,爱情,Love,愛情
aztec_clan_64,差异,Difference,差異
aztec_clan_65,美,Aesthetics,美
aztec_clan_66,文明,Civilization,文明
aztec_clan_67,奉献,Devotion,奉獻
aztec_clan_68,均衡,Balance,均衡
aztec_clan_69,生存,Survival,生存
aztec_clan_70,适应,Adaptation,適應
aztec_clan_71,力量,Strength,力量
aztec_clan_72,暴力,Violence,暴力
aztec_clan_73,威权,Authority,威權
aztec_clan_74,变化,Change,變化
aztec_clan_75,超越,Transcendence,超越
aztec_clan_76,嬗变,Metamorphosis,嬗變
aztec_clan_77,错误,Error,錯誤
aztec_clan_78,禁忌,Taboo,禁忌
aztec_clan_79,黄昏,Dusk,黃昏
aztec_clan_80,虚无,Nothingness,虛無
aztec_clan_81,奇迹,Miracle,奇蹟
aztec_clan_82,玩家,Player,玩家
aztec_clan_83,黑石碑,Black Stele,黑石碑
