key,cz,en,ch
frankish_country_1,阿尔诺林德,Arnorlind,阿爾諾林德
frankish_country_2,艾尔兰,Eirlan,艾爾蘭
frankish_country_3,塞洛斯,Selos,塞洛斯
frankish_country_4,伊瑟利,Iseli,伊瑟利
frankish_country_5,维斯特,Vester,維斯特
frankish_country_6,诺尔图,Nortu,諾爾圖
frankish_country_7,卡利安,Kalian,卡利安
frankish_country_8,索菲亚,Sophia,索菲亞
frankish_country_9,阿卡迪,Akadi,阿卡迪
frankish_country_10,雷恩哈,Renha,雷恩哈
frankish_country_11,瓦伦迪,Valendi,瓦倫迪
frankish_country_12,奥斯特,Oste,奧斯特
frankish_country_13,泰拉诺,Terrano,泰拉諾
frankish_country_14,克里斯特,Krist,克里斯特
frankish_country_15,德拉科,Draco,德拉科
frankish_country_16,尤诺斯,Yunos,尤諾斯
frankish_country_17,萨菲罗,Safiro,薩菲羅
frankish_country_18,阿尔卡,Arka,阿爾卡
frankish_country_19,泽尔塔,Zelta,澤爾塔
frankish_country_20,艾瑟兰,Eislan,艾瑟蘭
frankish_country_21,卡梅隆,Cameron,卡梅隆
frankish_country_22,菲尼克斯,Phoenix,菲尼克斯
frankish_country_23,卢米纳,Lumina,盧米納
frankish_country_24,维兰特,Valant,維蘭特
frankish_country_25,阿斯特,Aste,阿斯特
frankish_country_26,诺瓦利,Novali,諾瓦利
frankish_country_27,欧罗拉,Aurora,歐羅拉
frankish_country_28,瑟雷斯,Ceres,瑟雷斯
frankish_country_29,伊格尼,Igeni,伊格尼
frankish_country_30,凯尔莫,Kelmo,凱爾莫
frankish_country_31,索伦,Soren,索倫
frankish_country_32,瓦尔哈,Valha,瓦爾哈
frankish_country_33,艾瑞克,Eric,艾瑞克
frankish_country_34,奥德赛,Odyssey,奧德賽
frankish_country_35,诺瓦里,Novari,諾瓦里
frankish_country_36,卡尔德,Karde,卡爾德
frankish_country_37,赛弗里,Saferi,賽弗里
frankish_country_38,艾瑟瑞,Eiseri,艾瑟瑞
frankish_country_39,奥伯伦,Oberon,奧伯倫
frankish_country_40,塔利斯,Talis,塔利斯
frankish_country_41,艾尔德,Eld,艾爾德
frankish_country_42,阿尔卡,Arca,阿爾卡
frankish_country_43,萨洛尼,Saloni,薩洛尼
frankish_country_44,艾奎西,Aequisi,艾奎西
frankish_country_45,维瑟利,Veseli,維瑟利
frankish_country_46,卡斯特,Cast,卡斯特
frankish_country_47,艾瑟瑞,Eisery,艾瑟瑞
frankish_country_48,奥斯特,Ost,奧斯特
