key,cz,en,ch
frankish_city1_1,圣,Saint,聖
frankish_city1_2,天,Sky,天
frankish_city1_3,高,High,高
frankish_city1_4,深,Deep,深
frankish_city1_5,长,Long,長
frankish_city1_6,远,Far,遠
frankish_city1_7,金,Gold,金
frankish_city1_8,银,Silver,銀
frankish_city1_9,铁,Iron,鐵
frankish_city1_10,林,Forest,林
frankish_city1_11,临,Near,臨
frankish_city1_12,赤,Red,赤
frankish_city1_13,翠,Green,翠
frankish_city1_14,青,Blue,青
frankish_city1_15,紫,Purple,紫
frankish_city1_16,黑,Black,黑
frankish_city1_17,白,White,白
frankish_city1_18,魂,Soul,魂
frankish_city1_19,连,Link,連
frankish_city1_20,炉,Stove,爐
frankish_city1_21,东,East,東
frankish_city1_22,南,South,南
frankish_city1_23,西,West,西
frankish_city1_24,北,North,北
frankish_city1_25,春,Spring,春
frankish_city1_26,夏,Summer,夏
frankish_city1_27,秋,Fall,秋
frankish_city1_28,冬,Winter,冬
frankish_city1_29,途,Way,途
frankish_city1_30,苍,Pale,蒼
frankish_city1_31,千,Thousand,千
frankish_city1_32,万,Myriad,萬
frankish_city1_33,烈,Fierce,烈
frankish_city1_34,边,Edge,邊
frankish_city1_35,独,Alone,獨
frankish_city1_36,孤,Lone,孤
frankish_city1_37,寒,Cold,寒
frankish_city1_38,暖,Warm,暖
frankish_city1_39,热,Hot,熱
frankish_city1_40,灼,Scorch,灼
