key,cz,en,ch
germanic_country_1,阿尔诺林德,Arnorlind,阿爾諾林德
germanic_country_2,艾尔兰,Eirlan,艾爾蘭
germanic_country_3,塞洛斯,Selos,塞洛斯
germanic_country_4,伊瑟利,Iseli,伊瑟利
germanic_country_5,维斯特,Vester,維斯特
germanic_country_6,诺尔图,Nortu,諾爾圖
germanic_country_7,卡利安,Kalian,卡利安
germanic_country_8,索菲亚,Sophia,索菲亞
germanic_country_9,阿卡迪,Akadi,阿卡迪
germanic_country_10,雷恩哈,Renha,雷恩哈
germanic_country_11,瓦伦迪,Valendi,瓦倫迪
germanic_country_12,奥斯特,Oste,奧斯特
germanic_country_13,泰拉诺,Terrano,泰拉諾
germanic_country_14,克里斯特,Krist,克里斯特
germanic_country_15,德拉科,Draco,德拉科
germanic_country_16,尤诺斯,Yunos,尤諾斯
germanic_country_17,萨菲罗,Safiro,薩菲羅
germanic_country_18,阿尔卡,Arka,阿爾卡
germanic_country_19,泽尔塔,Zelta,澤爾塔
germanic_country_20,艾瑟兰,Eislan,艾瑟蘭
germanic_country_21,卡梅隆,Cameron,卡梅隆
germanic_country_22,菲尼克斯,Phoenix,菲尼克斯
germanic_country_23,卢米纳,Lumina,盧米納
germanic_country_24,维兰特,Valant,維蘭特
germanic_country_25,阿斯特,Aste,阿斯特
germanic_country_26,诺瓦利,Novali,諾瓦利
germanic_country_27,欧罗拉,Aurora,歐羅拉
germanic_country_28,瑟雷斯,Ceres,瑟雷斯
germanic_country_29,伊格尼,Igeni,伊格尼
germanic_country_30,凯尔莫,Kelmo,凱爾莫
germanic_country_31,索伦,Soren,索倫
germanic_country_32,瓦尔哈,Valha,瓦爾哈
germanic_country_33,艾瑞克,Eric,艾瑞克
germanic_country_34,奥德赛,Odyssey,奧德賽
germanic_country_35,诺瓦里,Novari,諾瓦里
germanic_country_36,卡尔德,Karde,卡爾德
germanic_country_37,赛弗里,Saferi,賽弗里
germanic_country_38,艾瑟瑞,Eiseri,艾瑟瑞
germanic_country_39,奥伯伦,Oberon,奧伯倫
germanic_country_40,塔利斯,Talis,塔利斯
germanic_country_41,艾尔德,Eld,艾爾德
germanic_country_42,阿尔卡,Arca,阿爾卡
germanic_country_43,萨洛尼,Saloni,薩洛尼
germanic_country_44,艾奎西,Aequisi,艾奎西
germanic_country_45,维瑟利,Veseli,維瑟利
germanic_country_46,卡斯特,Cast,卡斯特
germanic_country_47,艾瑟瑞,Eisery,艾瑟瑞
germanic_country_48,奥斯特,Ost,奧斯特
germanic_country_49,卡拉迪,Kaladi,卡拉迪
germanic_country_50,诺瓦瑟,Novase,諾瓦瑟
germanic_country_51,阿尔瑟,Arse,阿爾瑟
