key,cz,en,ch
Slavonic_city11,格里申,Grishin,格里申
Slavonic_city12,费奥多罗,Feodoro,費奧多羅
Slavonic_city13,科马罗,Komaro,科馬羅
Slavonic_city14,普什科,Pushko,普什科
Slavonic_city15,彼得拉,Petra,彼得拉
Slavonic_city16,沙塔洛,Shatalo,沙塔洛
Slavonic_city17,伊万诺,Ivano,伊萬諾
Slavonic_city18,卡缅斯基,Kamenski,卡緬斯基
Slavonic_city19,瓦西里,Vasili,瓦西里
Slavonic_city110,乌兰诺,Ulano,烏蘭諾
Slavonic_city111,沃尔科,Volko,沃爾科
Slavonic_city112,格里亚兹诺,Gryazno,格里亞茲諾
Slavonic_city113,杜德尼克,Dudnik,杜德尼克
Slavonic_city114,叶尔佐,Yerzo,葉爾佐
Slavonic_city115,叶若,Yezho,葉若
Slavonic_city116,日文科,Zhenko,日文科
Slavonic_city117,卡扎科,Kazako,卡扎科
Slavonic_city118,克鲁托,Kruto,克魯托
Slavonic_city119,伊万尼科,Ivaniko,伊萬尼科
Slavonic_city120,科洛索,Koloso,科洛索
Slavonic_city121,库津,Kuzin,庫津
Slavonic_city122,拉里奥诺,Lariono,拉里奧諾
Slavonic_city123,马克西姆,Maksim,馬克西姆
Slavonic_city124,马尔科,Marko,馬爾科
Slavonic_city125,奥斯特罗,Ostro,奧斯特羅
Slavonic_city126,波拉切,Polache,波拉切
Slavonic_city127,雷琴科,Rechenko,雷琴科
Slavonic_city128,罗曼诺兰,Romanolan,羅曼諾蘭
Slavonic_city129,萨亚诺维奇,Sayanovich,薩亞諾維奇
Slavonic_city130,斯塔特尼克,Statnik,斯塔特尼克
Slavonic_city131,索罗金,Sorokin,索羅金
Slavonic_city132,屠格涅,Tugne,屠格涅
Slavonic_city133,蒂托,Tito,蒂托
Slavonic_city134,特瓦尔多,Tvardo,特瓦爾多
Slavonic_city135,安东诺,Antono,安東諾
Slavonic_city136,斯科别列,Skobele,斯科別列
Slavonic_city137,拉扎列,Lazare,拉扎列
Slavonic_city138,马卡罗,Makaro,馬卡羅
Slavonic_city139,德拉戈米罗,Dragomiro,德拉戈米羅
Slavonic_city140,阿列克谢,Alekse,阿列克謝
Slavonic_city141,伊万诺,Ivane,伊萬諾
Slavonic_city142,彼得罗,Pietro,彼得羅
Slavonic_city143,西多罗,Sidoro,西多羅
Slavonic_city144,斯米尔诺,Smirno,斯米爾諾
Slavonic_city145,库兹涅佐,Kuznetso,庫茲涅佐
Slavonic_city146,波波,Popo,波波
Slavonic_city147,沃尔科,Volke,沃爾科
Slavonic_city148,科兹洛,Kozlo,科茲洛
Slavonic_city149,诺维科,Noviko,諾維科
Slavonic_city150,莫罗佐,Morozo,莫羅佐
Slavonic_city151,巴甫洛,Pavlo,巴甫洛
Slavonic_city152,索科洛,Sokolo,索科洛
Slavonic_city153,列别杰,Lebede,列別傑
Slavonic_city154,梅德韦杰,Medvede,梅德韋傑
Slavonic_city155,奥尔洛,Orlo,奧爾洛
Slavonic_city156,罗曼诺,Romano,羅曼諾
Slavonic_city157,沃罗比约,Vorobyo,沃羅比約
Slavonic_city158,费奥多罗,Feodore,費奧多羅
Slavonic_city159,雅科夫列,Yakovle,雅科夫列
Slavonic_city160,扎伊采,Zaice,扎伊采
Slavonic_city161,马卡罗,Makare,馬卡羅
Slavonic_city162,尼基京,Nikitin,尼基京
Slavonic_city163,萨温,Savin,薩溫
Slavonic_city164,季莫费耶,Timofeye,季莫費耶
Slavonic_city165,福明,Fomin,福明
Slavonic_city166,哈里托诺,Kharitono,哈里托諾
Slavonic_city167,察廖,Tsare,察廖
Slavonic_city168,沙波瓦洛,Shapovalo,沙波瓦洛
Slavonic_city169,埃菲莫,Efimo,埃菲莫
Slavonic_city170,尤马舍,Yumashe,尤馬舍
Slavonic_city171,亚库舍,Yakushe,亞庫舍
Slavonic_city172,阿列克谢耶,Alekseye,阿列克謝耶
Slavonic_city173,安德烈耶,Andreye,安德烈耶
Slavonic_city174,安东诺,Antone,安東諾
Slavonic_city175,阿尔乔莫,Artjomo,阿爾喬莫
Slavonic_city176,鲍里索,Boriso,鮑里索
Slavonic_city177,瓦西里耶,Vasiliye,瓦西里耶
Slavonic_city178,维克托罗,Viktoro,維克托羅
Slavonic_city179,弗拉基米罗,Vladimiro,弗拉基米羅
Slavonic_city180,根纳季耶,Gennadiye,根納季耶
Slavonic_city181,格奥尔基耶,Georgiye,格奧爾基耶
Slavonic_city182,格里戈里耶,Grigoriye,格里戈里耶
Slavonic_city183,丹尼洛,Danilo,丹尼洛
Slavonic_city184,德米特里耶,Dmitriye,德米特里耶
Slavonic_city185,叶夫根尼耶,Evgeniye,葉夫根尼耶
Slavonic_city186,叶戈罗,Yegoro,葉戈羅
Slavonic_city187,伊戈列,Igore,伊戈列
Slavonic_city188,伊里因,Iliyin,伊里因
Slavonic_city189,基里洛,Kirilo,基里洛
Slavonic_city190,康斯坦季诺,Konstantino,康斯坦季諾
Slavonic_city191,列昂尼多,Leonido,列昂尼多
Slavonic_city192,列别杰,Lebedye,列別傑
Slavonic_city193,马克西莫,Maksimo,馬克西莫
Slavonic_city194,马特维耶,Matveye,馬特維耶
Slavonic_city195,米哈伊洛,Mikhaylo,米哈伊洛
Slavonic_city196,尼基福罗,Nikiforo,尼基福羅
Slavonic_city197,尼古拉耶,Nikolaye,尼古拉耶
Slavonic_city198,奥列戈,Olego,奧列戈
Slavonic_city199,帕夫洛,Pavle,帕夫洛
Slavonic_city1100,彼得罗,Pietre,彼得羅
Slavonic_city1101,罗曼诺,Romane,羅曼諾
Slavonic_city1102,鲁斯兰诺,Ruslano,魯斯蘭諾
Slavonic_city1103,谢苗诺,Semiono,謝苗諾
Slavonic_city1104,谢尔盖耶,Sergeye,謝爾蓋耶
Slavonic_city1105,斯坦尼斯拉,Stanisla,斯坦尼斯拉
Slavonic_city1106,斯捷潘诺,Stepanio,斯捷潘諾
Slavonic_city1107,季莫费耶,Timofeie,季莫費耶
Slavonic_city1108,费奥多罗,Feodoro,費奧多羅
