key,cz,en,ch
youmu_religion_tengrism,腾格里教,Tengrism,騰格里教
youmu_religion_shamanism,萨满教,Shamanism,薩滿教
youmu_religion_animism,泛灵论,Animism,泛靈論
youmu_religion_totemism,图腾崇拜,Totemism,圖騰崇拜
youmu_religion_manichaeism,摩尼教,Manichaeism,摩尼教
youmu_religion_nestorian_christianity,景教,Nestorian Christianity,景教
youmu_religion_buddhism,佛教,Buddhism,佛教
youmu_religion_tibetan_buddhism,藏传佛教,Tibetan Buddhism,藏傳佛教
youmu_religion_islam,伊斯兰教,Islam,伊斯蘭教
youmu_religion_sunni_islam,逊尼派,Sunni Islam,遜尼派
youmu_religion_sufism,苏菲主义,Sufism,蘇菲主義
youmu_religion_zoroastrianism,祆教,Zoroastrianism,祆教
youmu_religion_bon,本教,Bön,本教
youmu_religion_mongolian_folk,蒙古民间信仰,Mongolian Folk Religion,蒙古民間信仰
youmu_religion_turkic_folk,突厥民间信仰,Turkic Folk Religion,突厥民間信仰
youmu_religion_sakha_folk,萨哈族民间信仰,Sakha Folk Religion,薩哈族民間信仰
youmu_religion_sami_paganism,萨米异教,Sami Paganism,薩米異教
youmu_religion_finnic_paganism,芬兰-乌戈尔异教,Finnic Paganism,芬蘭-烏戈爾異教
youmu_religion_sun_worship,太阳崇拜,Sun Worship,太陽崇拜
youmu_religion_moon_worship,月亮崇拜,Moon Worship,月亮崇拜
youmu_religion_star_worship,星辰崇拜,Star Worship,星辰崇拜
youmu_religion_ancestor_worship,祖先崇拜,Ancestor Worship,祖先崇拜
youmu_religion_mountain_worship,山岳崇拜,Mountain Worship,山岳崇拜
youmu_religion_grassland_folk,草原民间信仰,Grassland Folk Religion,草原民間信仰
youmu_religion_steppe_nomad_folk,草原游牧民信仰,Steppe Nomad Folk Religion,草原遊牧民youmu_信仰
youmu_religion_eastern_shamanism,东部萨满教,Eastern Shamanism,東部薩滿教
youmu_religion_western_shamanism,西部萨满教,Western Shamanism,西部薩滿教
youmu_religion_yakut_shamanism,雅库特萨满教,Yakut Shamanism,雅庫特薩滿教
youmu_religion_buryat_shamanism,布里亚特萨满教,Buryat Shamanism,布里亞特薩滿教
youmu_religion_evenk_shamanism,鄂温克萨满教,Evenk Shamanism,鄂溫克薩滿教
youmu_religion_daur_folk_religion,达斡尔族民间信仰,Daur Folk Religion,達斡爾族民間信youmu_仰
youmu_religion_khitan_folk_religion,契丹族民间信仰,Khitan Folk Religion,契丹族民間信youmu_仰
youmu_religion_jurchen_folk_religion,女真人民间信仰,Jurchen Folk Religion,女真人民間youmu_信仰
youmu_religion_xianbei_folk_religion,鲜卑族民间信仰,Xianbei Folk Religion,鮮卑族民間youmu_信仰
youmu_religion_rouran_folk_religion,柔然族民间信仰,Rouran Folk Religion,柔然族民間信youmu_仰
youmu_religion_alchon_folk_religion,阿尔昆族民间信仰,Alchon Folk Religion,阿爾昆族民youmu_間信仰
youmu_religion_kushan_folk_religion,贵霜族民间信仰,Kushan Folk Religion,貴霜族民間信youmu_仰
youmu_religion_hephthalite_folk_religion,赫弗他利特族民间信仰,Hephthalite Folk youmu_Religion,赫弗他利特族民間信仰
youmu_religion_mongol_shamanism,蒙古萨满教,Mongol Shamanism,蒙古薩滿教
