key,cz,en,ch
family_1,明洛斯,Minlos,明洛斯
family_2,莫尔都因,Mordun,莫爾都因
family_3,卡兰洪,Kalanhong,卡蘭洪
family_4,克瑞斯吉尔,Crisgill,克瑞斯吉爾
family_5,图尔加尔,Turgal,圖爾加爾
family_6,米斯林,Mislin,米斯林
family_7,安诺尔,Annor,安諾爾
family_8,梅内尔,Menel,梅內爾
family_9,加尔诺斯,Garnos,加爾諾斯
family_10,林拉顿,Linlaton,林拉頓
family_11,杜伊洛斯,Duilos,杜伊洛斯
family_12,埃兰迪尔,Elandil,埃蘭迪爾
family_13,洛斯洛林,Loslorin,洛斯洛林
family_14,阿蒙兰,Amonlan,阿蒙蘭
family_15,卡拉斯隆,Kalaslong,卡拉斯隆
family_16,埃瑞洛斯,Erelos,埃瑞洛斯
family_17,宁洛德尔,Ninglodel,寧洛德爾
family_18,吉尔多斯,Gildos,吉爾多斯
family_19,安法拉斯,Anfalas,安法拉斯
family_20,罗瓦尼尔,Rowarnil,羅瓦尼爾
family_21,辛达墨,Sindamor,辛達墨
family_22,图尔纳斯,Turnas,圖爾納斯
family_23,欧洛斐尔,Orolphir,歐洛斐爾
family_24,贝烈戈斯,Belegos,貝烈戈斯
family_25,阿塞兰,Aselan,阿塞蘭
family_26,埃斯特林,Estlin,埃斯特林
family_27,诺多尼尔,Nodoril,諾多尼爾
family_28,伊西利安,Isilian,伊西利安
family_29,佩拉诺尔,Pelanor,佩拉諾爾
family_30,卡兰迪尔,Calandil,卡蘭迪爾
family_31,多尔吉斯,Dorgis,多爾吉斯
family_32,哈隆德尔,Harondel,哈隆德爾
family_33,伊宁瓦尔,Ininwar,伊寧瓦爾
family_34,埃雷德恩,Eleden,埃雷德恩
family_35,米那斯提,Minasthi,米那斯提
family_36,贝烈格莫,Belegmo,貝烈格莫
family_37,欧尔法斯,Orfas,歐爾法斯
family_38,阿蒙苏尔,Amonsur,阿蒙蘇爾
family_39,辛达洛斯,Sindalos,辛達洛斯
family_40,法洛斯提,Falosti,法洛斯提
family_41,埃瑞德林,Eredlin,埃瑞德林
family_42,宁格罗德,Ningrod,寧格羅德
family_43,安格洛斯,Angelos,安格洛斯
family_44,多尔安罗,Doranro,多爾安羅
family_45,奥斯吉兰,Osgilan,奧斯吉蘭
family_46,佛诺斯特,Fornost,佛諾斯特
family_47,阿切兰特,Achelant,阿切蘭特
family_48,伊姆拉斯,Imras,伊姆拉斯
family_49,辛达墨瑞,Sindamore,辛達墨瑞
family_50,埃雷德鲁,Eredru,埃雷德魯
family_51,林顿,Lindon,林頓
family_52,菲尔德,Field,菲爾德
family_53,威勒,Wheeler,威勒
family_54,霍尔特,Holt,霍爾特
family_55,格雷森,Grayson,格雷森
family_56,艾尔伍德,Elwood,艾爾伍德
family_57,温斯顿,Winston,溫斯頓
family_58,卡文迪,Cavend,卡文迪
family_59,布兰登,Brandon,布蘭登
family_60,哈洛威,Halloway,哈洛威
family_61,谢尔曼,Sherman,謝爾曼
family_62,兰德尔,Randall,蘭德爾
family_63,普雷斯顿,Preston,普雷斯頓
family_64,考德威尔,Caldwell,考德威爾
family_65,桑德斯,Sanders,桑德斯
family_66,霍克斯,Hawkes,霍克斯
family_67,奥德利,Audley,奧德利
family_68,切斯特,Chester,切斯特
family_69,温特斯,Winters,溫特斯
family_70,斯通,Stone,斯通
family_71,海伍德,Haywood,海伍德
family_72,阿什比,Ashby,阿什比
family_73,雷德蒙,Redmond,雷德蒙
family_74,哈珀,Harper,哈珀
family_75,洛厄尔,Lowell,洛厄爾
family_76,伯吉斯,Burgess,伯吉斯
family_77,克劳福德,Crawford,克勞福德
family_78,梅特卡夫,Metcalf,梅特卡夫
family_79,欧文斯,Owens,歐文斯
family_80,布拉德肖,Bradshaw,布拉德肖
family_81,科尔曼,Coleman,科爾曼
family_82,弗罗斯特,Frost,弗羅斯特
family_83,温赖特,Wainwright,溫賴特
family_84,霍利斯,Hollis,霍利斯
family_85,埃弗顿,Everton,埃弗頓
family_86,柯林斯,Collins,柯林斯
family_87,巴洛,Barlow,巴洛
family_88,兰开斯特,Lancaster,蘭開斯特
family_89,温斯洛,Winslow,溫斯洛
family_90,伍德曼,Woodman,伍德曼
family_91,罗森,Rosen,羅森
family_92,莱斯特,Lester,萊斯特
family_93,克罗利,Crowley,克羅利
family_94,班尼特,Bennett,班尼特
family_95,卡莱尔,Carlisle,卡萊爾
family_96,黑斯廷斯,Hastings,黑斯廷斯
family_97,埃利斯,Ellis,埃利斯
family_98,碧海,Azure,碧海
family_99,暮刃,Dusk,暮刃
family_100,龙痕,Dragon,龍痕
family_101,黑曜,Obsidian,黑曜
family_102,银沙,Silver,銀沙
family_103,耀星,Star,耀星
family_104,破晓,Dawn,破曉
family_105,铁壁,Iron,鐵壁
family_106,烈阳,Sun,烈陽
family_107,苍穹,Sky,蒼穹
family_108,雷鸣,Thunder,雷鳴
family_109,浪歌,Wave,浪歌
family_110,赤焰,Blaze,赤焰
family_111,赤锋,Crimson,赤鋒
family_112,冰凰,Frost,冰凰
family_114,云影,Cloud,雲影
family_116,风暴,Storm,風暴
family_117,暗焰,Dark,暗焰
family_118,光辉,Light,光輝
family_120,金锋,Gold,金鋒
family_122,无声,Silent,無聲
family_123,破风,Wind,破風
family_124,烈火,Fire,烈火
family_126,流焰,Flame,流焰
family_127,苍影,Shadow,蒼影
family_130,夜风,Night,夜風
family_131,苍月,Moon,蒼月
family_132,青焰,Green,青焰
family_135,紫羽,Purple,紫羽
family_137,狼影,Wolf,狼影
family_139,雾影,Mist,霧影
family_140,冰河,Glacier,冰河
family_142,黑云,Black,黑雲
family_145,深渊,Abyss,深淵
family_146,冰刃,Ice,冰刃
family_151,银雪,Snow,銀雪
family_152,赤月,Red,赤月
family_169,烈风,Gale,烈風
family_170,血月,Blood,血月
family_179,深蓝,Blue,深藍
family_182,灼鳞,Scale,灼鱗
family_183,钢羽,Steel,鋼羽
family_185,潮汐,Tide,潮汐
family_193,黑棘,Thorn,黑棘
family_195,烈羽,Feather,烈羽
family_203,海誓,Sea,海誓
family_210,玄光,Mystic,玄光
family_211,苍藤,Vine,蒼藤
family_212,虹辉,Rainbow,虹輝
family_218,岁守,Year,歲守
family_221,恒誓,Eternal,恆誓
family_223,穹宇,Firmament,穹宇
family_227,历旅,Travel,歷旅
family_228,织梦,Weave,織夢
family_232,飓崖,Cliff,颶崖
