key,cz,en,chPersepolis_family_1,阿胡拉扎德,Ahurazad,阿胡拉扎德
Persepolis_family_2,马兹达班,Mazdaban,馬茲達班
Persepolis_family_3,密特拉尼,Mithrani,密特拉尼
Persepolis_family_4,阿娜希塔什,Anahitash,阿娜希塔什
Persepolis_family_5,万赫拉姆扬,Vahramyan,萬赫拉姆揚
Persepolis_family_6,斯彭塔德,Spentad,斯彭塔德
Persepolis_family_7,阿沙万德,Ashavand,阿沙萬德
Persepolis_family_8,沃胡米尔,Vohumir,沃胡米爾
Persepolis_family_9,阿姆沙普尔,Ameshapur,阿姆沙普爾
Persepolis_family_10,提什特里安,Tishtrian,提什特里安
Persepolis_family_11,泽尔万德,Zervand,澤爾萬德
Persepolis_family_12,阿尔德维什,Ardvish,阿爾德維什
Persepolis_family_13,达拉班达,Darabanda,達拉班達
Persepolis_family_14,库鲁什扬,Kurushyan,庫魯什揚
Persepolis_family_15,克谢尔克什,Xerxesh,克謝爾克什
Persepolis_family_16,阿契美尼扬,Achaemenyan,阿契美尼揚
Persepolis_family_17,帕思瓦德,Parthvad,帕思瓦德
Persepolis_family_18,巴克特里安,Bactrian,巴克特里安
Persepolis_family_19,粟特万德,Sogdvand,粟特萬德
Persepolis_family_20,埃兰尼扬,Elamyan,埃蘭尼揚
Persepolis_family_21,马达班,Madaban,馬達班
Persepolis_family_22,扎格罗斯扬,Zagrosyan,扎格羅斯揚
Persepolis_family_23,达什特瓦德,Dashtvad,達什特瓦德
Persepolis_family_24,库赫班达,Kuhbanda,庫赫班達
Persepolis_family_25,鲁德万德,Rudvand,魯德萬德
Persepolis_family_26,阿班尼扬,Abandyan,阿班尼揚
Persepolis_family_27,阿努什德,Anushd,阿努什德
Persepolis_family_28,阿尔达希尔扬,Ardashiryan,阿爾達希爾揚
Persepolis_family_29,戈什塔斯班,Goshtasban,戈什塔斯班
Persepolis_family_30,维什塔帕德,Vishtapad,維什塔帕德
Persepolis_family_31,菲鲁兹扬,Firuzyan,菲魯茲揚
Persepolis_family_32,迪兹班达,Dezbanda,迪茲班達
Persepolis_family_33,沙赫尔万德,Shahrvand,沙赫爾萬德
Persepolis_family_34,卡伦尼扬,Karunyan,卡倫尼揚
Persepolis_family_35,舒什瓦德,Shushvad,舒什瓦德
Persepolis_family_36,亚兹德班,Yazdban,亞茲德班
Persepolis_family_37,克尔曼扬,Kermanyan,克爾曼揚
Persepolis_family_38,霍尔木兹德,Hormuzd,霍爾木茲德
Persepolis_family_39,霍拉姆万德,Khoramvand,霍拉姆萬德
Persepolis_family_40,法尔哈德扬,Farhadyan,法爾哈德揚
Persepolis_family_41,巴赫拉姆班,Bahramban,巴赫拉姆班
Persepolis_family_42,沙普尔瓦德,Shapurvad,沙普爾瓦德
Persepolis_family_43,纳尔塞扬,Narseyan,納爾塞揚
Persepolis_family_44,霍尔密兹德班,Hormizdban,霍爾密茲德班
Persepolis_family_45,卑路斯万德,Perozvand,卑路斯萬德
Persepolis_family_46,霍斯劳扬,Khosrowyan,霍斯勞揚
Persepolis_family_47,戈尔迪亚德,Gordiyad,戈爾迪亞德
Persepolis_family_48,奥罗德斯班,Orodesban,奧羅德斯班
Persepolis_family_49,弗拉特斯扬,Phraatesyan,弗拉特斯揚
Persepolis_family_50,米特拉达梯德,Mithradatesd,米特拉達梯德
Persepolis_family_51,阿尔塔薛西斯班,Artaxerxesban,阿爾塔薛西斯班
Persepolis_family_52,冈比西斯扬,Cambysesyan,岡比西斯揚
Persepolis_family_53,巴尔迪亚德,Bardiyad,巴爾迪亞德
Persepolis_family_54,麦加毕佐斯班,Megabyzusban,麥加畢佐斯班
Persepolis_family_55,叙达尔涅斯扬,Hydarnesyan,敘達爾涅斯揚
Persepolis_family_56,达提斯瓦德,Datisvad,達提斯瓦德
Persepolis_family_57,阿尔塔费尼斯班,Artaphernesban,阿爾塔費尼斯班
Persepolis_family_58,法拉瓦哈扬,Faravaharyan,法拉瓦哈揚
Persepolis_family_59,鲁斯塔姆万德,Rostamvand,魯斯塔姆萬德
Persepolis_family_60,贾姆希德班,Jamshidban,賈姆希德班
Persepolis_family_61,费里顿扬,Feridunyan,費里頓揚
Persepolis_family_62,阿拉什德,Arashd,阿拉什德
Persepolis_family_63,斯皮塔马扬,Spitamayan,斯皮塔馬揚
Persepolis_family_64,大流士班,Dariusban,大流士班
Persepolis_family_65,居鲁士扬,Cyrusyan,居魯士揚
Persepolis_family_66,帕萨尔加德班,Pasargadaeban,帕薩爾加德班
Persepolis_family_67,波斯波利斯扬,Persepolisyan,波斯波利斯揚
Persepolis_family_68,苏萨万德,Susavand,蘇薩萬德
Persepolis_family_69,巴比伦德,Babylond,巴比倫德
Persepolis_family_70,埃克巴坦那班,Ecbatanaeban,埃克巴坦那班
Persepolis_family_71,萨迪斯扬,Sardisyan,薩迪斯揚
Persepolis_family_72,巴克特拉德,Bactrad,巴克特拉德
Persepolis_family_73,戈尔迪翁班,Gordionban,戈爾迪翁班
Persepolis_family_74,阿拉霍西亚扬,Arachosianyan,阿拉霍西亞揚
Persepolis_family_75,塞拉伊奈德,Celaenaed,塞拉伊奈德
Persepolis_family_76,西罗波利斯班,Cyropolisban,西羅波利斯班
Persepolis_family_77,达拉布扬,Darabyan,達拉布揚
Persepolis_family_78,达斯库里乌姆德,Dascyliumd,達斯庫里烏姆德
Persepolis_family_79,多里库斯班,Doriscusban,多里庫斯班
Persepolis_family_80,甘扎克扬,Ganzakyan,甘扎克揚
Persepolis_family_81,哈利卡纳苏斯德,Halicarnassusd,哈利卡納蘇斯德
Persepolis_family_82,伊斯法罕班,Isfahanban,伊斯法罕班
Persepolis_family_83,伊苏斯扬,Issusyan,伊蘇斯揚
Persepolis_family_84,伊斯塔赫尔德,Istakhrd,伊斯塔赫爾德
Persepolis_family_85,纳哈万德班,Nahavandban,納哈萬德班
Persepolis_family_86,内里兹扬,Neyrizyan,內里茲揚
Persepolis_family_87,彭吉肯特德,Panjakentd,彭吉肯特德
Persepolis_family_88,雷伊班,Rayban,雷伊班
Persepolis_family_89,扎德拉卡尔塔扬,Zadracartayan,扎德拉卡爾塔揚
Persepolis_family_90,乌鲁格德佩德,UlugDeped,烏盧格德佩德
Persepolis_family_91,卡什马尔班,Kashmarban,卡什馬爾班
Persepolis_family_92,派希亚瓦达扬,Paishiyauvadayan,派希亞烏瓦達揚
Persepolis_family_93,阿尔德里卡德,Ardericcad,阿爾德里卡德
Persepolis_family_94,博里扎班,Boryzaban,博里扎班
Persepolis_family_95,埃翁德,Eiond,埃翁德
Persepolis_family_96,戈纳巴德扬,Gonabadyan,戈納巴德揚
Persepolis_family_97,阿班达什,Abandash,阿班達什
Persepolis_family_98,阿斯塔万德,Astavand,阿斯塔萬德
Persepolis_family_99,法拉瓦德,Faravad,法拉瓦德
Persepolis_family_100,阿尔达什班,Ardashban,阿爾達什班
Persepolis_family_101,安努纳基,Anunnaki,安努納基
Persepolis_family_102,恩利尔班,Enlilban,恩利爾班
Persepolis_family_103,恩基扬,Enkiyan,恩基揚
Persepolis_family_104,伊南娜德,Inannad,伊南娜德
Persepolis_family_105,伊什塔尔万德,Ishtarcand,伊什塔爾萬德
Persepolis_family_106,马尔杜克班,Mardukban,馬爾杜克班
Persepolis_family_107,纳布扬,Nabuyan,納布揚
Persepolis_family_108,沙马什德,Shamashd,沙馬什德
Persepolis_family_109,辛万德,Sinvand,辛萬德
Persepolis_family_110,阿达德班,Adadban,阿達德班
Persepolis_family_111,宁胡尔萨格扬,Ninhursagyan,寧胡爾薩格揚
Persepolis_family_112,杜木兹德,Dumuzid,杜木茲德
Persepolis_family_113,内尔加尔万德,Nergalvand,內爾加爾萬德
Persepolis_family_114,埃列什基伽勒班,Ereshkigalban,埃列什基伽勒班
Persepolis_family_115,扎巴巴扬,Zababayan,扎巴巴揚
Persepolis_family_116,尼努尔塔德,Ninurtad,尼努爾塔德
Persepolis_family_117,乌图万德,Utuvand,烏圖萬德
Persepolis_family_118,南舍班,Nansheban,南舍班
Persepolis_family_119,宁卡西扬,Ninkasiyan,寧卡西揚
Persepolis_family_120,宁松德,Ninsund,寧松德
Persepolis_family_121,卢伽尔万德,Lugalvand,盧伽爾萬德
Persepolis_family_122,恩美卡尔班,Enmerkarban,恩美卡爾班
Persepolis_family_123,吉尔伽美什扬,Gilgameshyan,吉爾伽美什揚
Persepolis_family_124,舒尔吉德,Shulgid,舒爾吉德
Persepolis_family_125,乌尔纳姆万德,UrNammuvand,烏爾納姆萬德
Persepolis_family_126,汉谟拉比班,Hammurabiban,漢謨拉比班
Persepolis_family_127,萨尔贡扬,Sargoniyan,薩爾貢揚
Persepolis_family_128,纳拉姆辛德,NaramSind,納拉姆辛德
Persepolis_family_129,提格拉特帕拉沙尔万德,TiglathPileservand,提格拉特帕拉沙爾萬德
Persepolis_family_130,辛那赫里布班,Sennacheribban,辛那赫里布班
Persepolis_family_131,阿淑尔巴尼拔扬,Ashurbanipalyan,阿淑爾巴尼拔揚
Persepolis_family_132,尼布甲尼撒德,Nebuchadnezzard,尼布甲尼撒德
Persepolis_family_133,阿淑尔万德,Ashurvand,阿淑爾萬德
Persepolis_family_134,乌鲁克班,Urukban,烏魯克班
Persepolis_family_135,乌尔扬,Uryan,烏爾揚
Persepolis_family_136,拉格什德,Lagashd,拉格什德
Persepolis_family_137,基什万德,Kishvand,基什萬德
Persepolis_family_138,尼普尔班,Nippurban,尼普爾班
Persepolis_family_139,埃利都扬,Eriduyan,埃利都揚
Persepolis_family_140,乌玛德,Ummad,烏瑪德
Persepolis_family_141,拉尔萨万德,Larsavand,拉爾薩萬德
Persepolis_family_142,伊辛班,Isinban,伊辛班
Persepolis_family_143,马里扬,Mariyan,馬里揚
Persepolis_family_144,卡拉赫德,Kalhud,卡拉赫德
Persepolis_family_145,杜尔沙鲁金万德,DurSharrukinvand,杜爾沙魯金萬德
Persepolis_family_146,哈兰班,Harranban,哈蘭班
Persepolis_family_147,卡尔赫米什扬,Carchemishyan,卡爾赫米什揚
Persepolis_family_148,米坦尼德,Mitannid,米坦尼德
Persepolis_family_149,哈图沙万德,Hattusavand,哈圖沙萬德
Persepolis_family_150,加喜特班,Kassiteban,加喜特班
Persepolis_family_151,安善扬,Anshanyan,安善揚
Persepolis_family_152,苏美尔德,Sumerd,蘇美爾德
Persepolis_family_153,阿卡德万德,Akkadvand,阿卡德萬德
Persepolis_family_154,巴比伦尼亚班,Babyloniaban,巴比倫尼亞班
Persepolis_family_155,亚述扬,Assyriayan,亞述揚
Persepolis_family_156,阿勃祖班,Abzubban,阿勃祖班
Persepolis_family_157,迪尔巴特扬,Dilbatyan,迪爾巴特揚
Persepolis_family_158,库萨德,Kuthad,庫薩德
Persepolis_family_159,吉尔苏万德,Girsuvand,吉爾蘇萬德
Persepolis_family_160,乌尔凯什班,Urkeshban,烏爾凱什班
Persepolis_family_161,努济扬,Nuziyan,努濟揚
Persepolis_family_162,阿拉帕克德,Alapakhd,阿拉帕克德
Persepolis_family_163,提尔巴尔西普万德,TilBarsipvand,提爾巴爾西普萬德
Persepolis_family_164,瓦舒卡尼班,Washukanniban,瓦舒卡尼班
Persepolis_family_165,哈尔帕扬,Halabyan,哈爾帕揚
Persepolis_family_166,乌加里特德,Ugaritd,烏加里特德
Persepolis_family_167,比布鲁斯万德,Byblosvand,比布魯斯萬德
Persepolis_family_168,阿勒颇班,Aleppoban,阿勒頗班
Persepolis_family_169,大马士革扬,Damascusyan,大馬士革揚
Persepolis_family_170,泰尔德,Tyred,泰爾德
Persepolis_family_171,西顿万德,Sidonvand,西頓萬德
Persepolis_family_172,亚兰德,Aramd,亞蘭德
Persepolis_family_173,阿玛尔纳班,Amarnaban,阿瑪爾納班
Persepolis_family_174,阿赫那吞扬,Akhenatenyan,阿赫那吞揚
Persepolis_family_175,库萨尔班,Kussaraban,庫薩爾班
Persepolis_family_176,米利都扬,Miletusyan,米利都揚
Persepolis_family_177,以弗所德,Ephesusd,以弗所德
Persepolis_family_178,吕底亚万德,Lydiavand,呂底亞萬德
Persepolis_family_179,弗里吉亚班,Phrygiaban,弗里吉亞班
Persepolis_family_180,乌拉尔图扬,Urartuyan,烏拉爾圖揚
Persepolis_family_181,凡城德,Vanad,凡城德
Persepolis_family_182,吐施帕班,Tushpaban,吐施帕班
Persepolis_family_183,埃里温扬,Erebuniyan,埃里溫揚
Persepolis_family_184,阿达布德,Adabd,阿達布德
Persepolis_family_185,舒鲁帕克万德,Shuruppakvand,舒魯帕克萬德
Persepolis_family_186,巴德提比拉班,BadTibiraban,巴德提比拉班
Persepolis_family_187,扎巴拉姆扬,Zabalamyan,扎巴拉姆揚
Persepolis_family_188,阿克沙克德,Akshakd,阿克沙克德
Persepolis_family_189,埃什南纳班,Eshnunnaban,埃什南納班
Persepolis_family_190,阿尔贝拉扬,Arbelayan,阿爾貝拉揚
Persepolis_family_191,西帕尔德,Sippard,西帕爾德
Persepolis_family_192,波尔西帕万德,Borsippavand,波爾西帕萬德
Persepolis_family_193,卡什提里亚什班,Kashtiliashban,卡什提里亞什班
Persepolis_family_194,布尔那布里亚什扬,BurnaBuriashyan,布爾那布里亞什揚
Persepolis_family_195,苏萨尼亚德,Susianad,蘇薩尼亞德
Persepolis_family_196,卢伽尔班达万德,Lugalbandavand,盧伽爾班達萬德
Persepolis_family_197,古地亚扬,Gudeayan,古地亞揚
Persepolis_family_198,伊比辛德,IbbiSind,伊比辛德
Persepolis_family_199,舒姆埃尔班,Shumuelban,舒姆埃爾班
Persepolis_family_200,安努沙加尔扬,AnuShaggalyan,安努沙加爾揚
Persepolis_family_201,恩利尔杜尔,EnlilDur,恩利爾杜爾
Persepolis_family_202,恩基阿勃祖,EnkiAbzu,恩基阿勃祖
Persepolis_family_203,伊南娜乌尔,InannaUr,伊南娜烏爾
Persepolis_family_204,马尔杜克巴拉,MardukBala,馬爾杜克巴拉
Persepolis_family_205,纳布基什,NabuKish,納布基什
Persepolis_family_206,沙马什拉尔,ShamashLal,沙馬什拉爾
Persepolis_family_207,伊什塔尔卡拉,IshtarKala,伊什塔爾卡拉
Persepolis_family_208,辛努里,SinNuri,辛努里
Persepolis_family_209,阿达德图尔,AdadTur,阿達德圖爾
Persepolis_family_210,宁胡尔萨格玛尔,NinhursagMar,寧胡爾薩格瑪爾
Persepolis_family_211,杜木兹伽尔,DumuziGal,杜木茲伽爾
Persepolis_family_212,内尔加尔基什,NergalKish,內爾加爾基什
Persepolis_family_213,埃列什基伽勒杜尔,EreshkigalDur,埃列什基伽勒杜爾
Persepolis_family_214,扎巴巴乌鲁,ZababaUru,扎巴巴烏魯
Persepolis_family_215,尼努尔塔沙加尔,NinurtaShaggal,尼努爾塔沙加爾
Persepolis_family_216,乌图拉尔,UtuLal,烏圖拉爾
Persepolis_family_217,南舍玛尔,NansheMar,南舍瑪爾
Persepolis_family_218,宁卡西基什,NinkasiKish,寧卡西基什
Persepolis_family_219,宁松杜尔,NinsunDur,寧松杜爾
Persepolis_family_220,卢伽尔班达乌鲁,LugalbandaUru,盧伽爾班達烏魯
Persepolis_family_221,恩美卡尔拉格什,EnmerkarLagash,恩美卡爾拉格什
Persepolis_family_222,舒尔吉乌尔,ShulgiUr,舒爾吉烏爾
Persepolis_family_223,汉谟拉比乌鲁,HammurabiUru,漢謨拉比烏魯
Persepolis_family_224,萨尔贡阿卡德,SargonAkkad,薩爾貢阿卡德
Persepolis_family_225,纳拉姆辛杜尔,NaramSinDur,納拉姆辛杜爾
Persepolis_family_226,提格拉特帕拉沙尔乌鲁,TiglathPileserUru,提格拉特帕拉沙爾烏魯
Persepolis_family_227,萨尔贡二世杜尔,SargonIIDur,薩爾貢二世杜爾
Persepolis_family_228,辛那赫里布尼尼微,SennacheribNineveh,辛那赫里布尼尼微
Persepolis_family_229,阿淑尔巴尼拔乌鲁,AshurbanipalUru,阿淑爾巴尼拔烏魯
Persepolis_family_230,尼布甲尼撒乌鲁,NebuchadnezzarUru,尼布甲尼撒烏魯
Persepolis_family_231,乌鲁克扎巴,UrukZaba,烏魯克扎巴
Persepolis_family_232,乌尔纳姆杜尔,UrNammuDur,烏爾納姆杜爾
Persepolis_family_233,伊比辛乌鲁,IbbiSinUru,伊比辛烏魯
Persepolis_family_234,古地亚拉格什,GudeaLagash,古地亞拉格什
Persepolis_family_235,安善乌鲁,AnshanUru,安善烏魯
Persepolis_family_236,苏萨尼亚乌鲁,SusianaUru,蘇薩尼亞烏魯
Persepolis_family_237,埃兰杜尔,ElamDur,埃蘭杜爾
Persepolis_family_238,卡什提里亚什乌鲁,KashtiliashUru,卡什提里亞什烏魯
Persepolis_family_239,布尔那布里亚什乌鲁,BurnaBuriashUru,布爾那布里亞什烏魯
Persepolis_family_240,加喜特杜尔,KassiteDur,加喜特杜爾
Persepolis_family_241,米坦尼乌鲁,MitanniUru,米坦尼烏魯
Persepolis_family_242,瓦舒卡尼杜尔,WashukanniDur,瓦舒卡尼杜爾
Persepolis_family_243,哈尔帕乌鲁,HalabUru,哈爾帕烏魯
Persepolis_family_244,乌加里特乌鲁,UgaritUru,烏加里特烏魯
Persepolis_family_245,比布鲁斯乌鲁,ByblosUru,比布魯斯烏魯
Persepolis_family_246,阿勒颇乌鲁,AleppoUru,阿勒頗烏魯
Persepolis_family_247,大马士革乌鲁,DamascusUru,大馬士革烏魯
Persepolis_family_248,泰尔乌鲁,TyreUru,泰爾烏魯
Persepolis_family_249,西顿乌鲁,SidonUru,西頓烏魯
Persepolis_family_250,亚兰杜尔,AramDur,亞蘭杜爾
Persepolis_family_251,阿玛尔纳乌鲁,AmarnaUru,阿瑪爾納烏魯
Persepolis_family_252,阿赫那吞乌鲁,AkhenatenUru,阿赫那吞烏魯
Persepolis_family_253,孟菲斯乌鲁,MemphisUru,孟菲斯烏魯
Persepolis_family_254,底比斯乌鲁,ThebesUru,底比斯烏魯
Persepolis_family_255,哈图沙乌鲁,HattusaUru,哈圖沙烏魯
Persepolis_family_256,库萨尔乌鲁,KussaraUru,庫薩爾烏魯
Persepolis_family_257,米利都乌鲁,MiletusUru,米利都烏魯
Persepolis_family_258,以弗所乌鲁,EphesusUru,以弗所烏魯
Persepolis_family_259,吕底亚杜尔,LydiaDur,呂底亞杜爾
Persepolis_family_260,弗里吉亚乌鲁,PhrygiaUru,弗里吉亞烏魯
Persepolis_family_261,拉格什伽尔,LagashGal,拉格什伽爾
Persepolis_family_262,乌拉尔图乌鲁,UrartuUru,烏拉爾圖烏魯
Persepolis_family_263,凡城乌鲁,VanUru,凡城烏魯
Persepolis_family_264,吐施帕乌鲁,TushpaUru,吐施帕烏魯
Persepolis_family_265,埃里温乌鲁,ErebuniUru,埃里溫烏魯
Persepolis_family_266,安努纳基杜尔,AnunnakiDur,安努納基杜爾
Persepolis_family_267,阿勃祖伽尔,AbzuGal,阿勃祖伽爾
Persepolis_family_268,沙马什图尔,ShamashTur,沙馬什圖爾
Persepolis_family_269,伊什塔尔纳,IshtarNa,伊什塔爾納
Persepolis_family_270,辛伽尔,SinGal,辛伽爾
Persepolis_family_271,阿达德沙加尔,AdadShaggal,阿達德沙加爾
Persepolis_family_272,宁胡尔萨格杜尔,NinhursagDur,寧胡爾薩格杜爾
Persepolis_family_273,杜木兹乌鲁,DumuziUru,杜木茲烏魯
Persepolis_family_274,内尔加尔玛尔,NergalMar,內爾加爾瑪爾
