key,cz,en,ch
Shanhai_Qianziwen_1,天,Tian,天
Shanhai_Qianziwen_2,地,Di,地
Shanhai_Qianziwen_3,玄,Xuan,玄
Shanhai_Qianziwen_4,黄,Huang,黃
Shanhai_Qianziwen_5,宇,Yu,宇
Shanhai_Qianziwen_6,宙,Zhou,宙
Shanhai_Qianziwen_7,洪,Hong,洪
Shanhai_Qianziwen_8,荒,Huang,荒
Shanhai_Qianziwen_9,日,Ri,日
Shanhai_Qianziwen_10,月,Yue,月
Shanhai_Qianziwen_11,盈,Ying,盈
Shanhai_Qianziwen_12,昃,Ze,昃
Shanhai_Qianziwen_13,辰,Chen,辰
Shanhai_Qianziwen_14,宿,Su,宿
Shanhai_Qianziwen_15,列,Lie,列
Shanhai_Qianziwen_16,张,Zhang,張
Shanhai_Qianziwen_17,寒,Han,寒
Shanhai_Qianziwen_18,来,Lai,來
Shanhai_Qianziwen_19,暑,Shu,暑
Shanhai_Qianziwen_20,往,Wang,往
Shanhai_Qianziwen_21,秋,Qiu,秋
Shanhai_Qianziwen_22,收,Shou,收
Shanhai_Qianziwen_23,冬,Dong,冬
Shanhai_Qianziwen_24,藏,Cang,藏
Shanhai_Qianziwen_25,闰,Run,閏
Shanhai_Qianziwen_26,余,Yu,餘
Shanhai_Qianziwen_27,成,Cheng,成
Shanhai_Qianziwen_28,岁,Sui,歲
Shanhai_Qianziwen_29,律,Lü,律
Shanhai_Qianziwen_30,吕,Lü,呂
Shanhai_Qianziwen_31,调,Diao,調
Shanhai_Qianziwen_32,阳,Yang,陽
Shanhai_Qianziwen_33,云,Yun,雲
Shanhai_Qianziwen_34,腾,Teng,騰
Shanhai_Qianziwen_35,致,Zhi,致
Shanhai_Qianziwen_36,雨,Yu,雨
Shanhai_Qianziwen_37,露,Lu,露
Shanhai_Qianziwen_38,结,Jie,結
Shanhai_Qianziwen_39,为,Wei,為
Shanhai_Qianziwen_40,霜,Shuang,霜
Shanhai_Qianziwen_41,金,Jin,金
Shanhai_Qianziwen_42,生,Sheng,生
Shanhai_Qianziwen_43,丽,Li,麗
Shanhai_Qianziwen_44,水,Shui,水
Shanhai_Qianziwen_45,玉,Yu,玉
Shanhai_Qianziwen_46,出,Chu,出
Shanhai_Qianziwen_47,昆,Kun,昆
Shanhai_Qianziwen_48,冈,Gang,岡
Shanhai_Qianziwen_49,剑,Jian,劍
Shanhai_Qianziwen_50,号,Hao,號
Shanhai_Qianziwen_51,巨,Ju,巨
Shanhai_Qianziwen_52,阙,Que,闕
Shanhai_Qianziwen_53,珠,Zhu,珠
Shanhai_Qianziwen_54,称,Cheng,稱
Shanhai_Qianziwen_55,夜,Ye,夜
Shanhai_Qianziwen_56,光,Guang,光
Shanhai_Qianziwen_57,果,Guo,果
Shanhai_Qianziwen_58,珍,Zhen,珍
Shanhai_Qianziwen_59,李,Li,李
Shanhai_Qianziwen_60,柰,Nai,柰
Shanhai_Qianziwen_61,菜,Cai,菜
Shanhai_Qianziwen_62,重,Zhong,重
Shanhai_Qianziwen_63,芥,Jie,芥
Shanhai_Qianziwen_64,姜,Jiang,薑
Shanhai_Qianziwen_65,海,Hai,海
Shanhai_Qianziwen_66,咸,Xian,鹹
Shanhai_Qianziwen_67,河,He,河
Shanhai_Qianziwen_68,淡,Dan,淡
Shanhai_Qianziwen_69,鳞,Lin,鱗
Shanhai_Qianziwen_70,潜,Qian,潛
Shanhai_Qianziwen_71,羽,Yu,羽
Shanhai_Qianziwen_72,翔,Xiang,翔
Shanhai_Qianziwen_73,龙,Long,龍
Shanhai_Qianziwen_74,师,Shi,師
Shanhai_Qianziwen_75,火,Huo,火
Shanhai_Qianziwen_76,帝,Di,帝
Shanhai_Qianziwen_77,鸟,Niao,鳥
Shanhai_Qianziwen_78,官,Guan,官
Shanhai_Qianziwen_79,人,Ren,人
Shanhai_Qianziwen_80,皇,Huang,皇
Shanhai_Qianziwen_81,始,Shi,始
Shanhai_Qianziwen_82,制,Zhi,制
Shanhai_Qianziwen_83,文,Wen,文
Shanhai_Qianziwen_84,字,Zi,字
Shanhai_Qianziwen_85,乃,Nai,乃
Shanhai_Qianziwen_86,服,Fu,服
Shanhai_Qianziwen_87,衣,Yi,衣
Shanhai_Qianziwen_88,裳,Chang,裳
Shanhai_Qianziwen_89,推,Tui,推
Shanhai_Qianziwen_90,位,Wei,位
Shanhai_Qianziwen_91,让,Rang,讓
Shanhai_Qianziwen_92,国,Guo,國
Shanhai_Qianziwen_93,有,You,有
Shanhai_Qianziwen_94,虞,Yu,虞
Shanhai_Qianziwen_95,陶,Tao,陶
Shanhai_Qianziwen_96,唐,Tang,唐
Shanhai_Qianziwen_97,吊,Diao,弔
Shanhai_Qianziwen_98,民,Min,民
Shanhai_Qianziwen_99,伐,Fa,伐
Shanhai_Qianziwen_100,罪,Zui,罪
Shanhai_Qianziwen_101,周,Zhou,周
Shanhai_Qianziwen_102,发,Fa,發
Shanhai_Qianziwen_103,殷,Yin,殷
Shanhai_Qianziwen_104,汤,Tang,湯
