key,cz,en,ch
Persepolis_male_1,阿胡拉扎德,Ahurazad,阿胡拉扎德
Persepolis_male_2,马兹达班达,Mazdabanda,馬茲達班達
Persepolis_male_3,密特拉瓦尔达,Mithravarada,密特拉瓦爾達
Persepolis_male_4,阿塔尔班,Atarban,阿塔爾班
Persepolis_male_5,万赫拉姆班,Vahramban,萬赫拉姆班
Persepolis_male_6,斯彭塔瓦兰,Spentavaran,斯彭塔瓦蘭
Persepolis_male_7,阿沙万德,Ashavand,阿沙萬德
Persepolis_male_8,沃胡马纳,Vohumana,沃胡馬納
Persepolis_male_9,阿姆沙普尔,Ameshapur,阿姆沙普爾
Persepolis_male_10,提什特里加德,Tishtrigard,提什特里加德
Persepolis_male_11,泽尔万克尔特,Zervankert,澤爾萬克爾特
Persepolis_male_12,阿尔德维班,Ardviban,阿爾德維班
Persepolis_male_13,达拉万德,Darahvand,達拉萬德
Persepolis_male_14,库鲁什巴纳,Kurushbana,庫魯什巴納
Persepolis_male_15,克谢尔克达克特,Xerxedakht,克謝爾克達克特
Persepolis_male_16,阿契美尼沙赫尔,Achaemenshahr,阿契美尼沙赫爾
Persepolis_male_17,帕思瓦兰,Parthvaran,帕思瓦蘭
Persepolis_male_18,巴克特扎德,Bactrazad,巴克特扎德
Persepolis_male_19,粟特罗兹,Sogdroz,粟特羅茲
Persepolis_male_20,阿拉霍巴纳,Arachobana,阿拉霍巴納
Persepolis_male_21,埃兰达克特,Elamdakht,埃蘭達克特
Persepolis_male_22,马达沙赫尔,Madashahr,馬達沙赫爾
Persepolis_male_23,扎格瓦兰,Zagrvaran,扎格瓦蘭
Persepolis_male_24,达什特万德,Dashtvand,達什特萬德
Persepolis_male_25,库赫扎德,Kuhzad,庫赫扎德
Persepolis_male_26,班姆罗兹,Bamroz,班姆羅茲
Persepolis_male_27,鲁德巴纳,Rudbana,魯德巴納
Persepolis_male_28,阿班达克特,Abandakht,阿班達克特
Persepolis_male_29,阿努什沙赫尔,Anushshahr,阿努什沙赫爾
Persepolis_male_30,阿斯塔瓦兰,Astarvaran,阿斯塔瓦蘭
Persepolis_male_31,法拉瓦万德,Faravahvand,法拉瓦萬德
Persepolis_male_32,阿尔达什扎德,Ardashzad,阿爾達什扎德
Persepolis_male_33,戈什塔罗兹,Goshtroz,戈什塔羅茲
Persepolis_male_34,贾姆希巴纳,Jamshbana,賈姆希巴納
Persepolis_male_35,费里顿达克特,Feridundakht,費里頓達克特
