key,cz,en,ch
india_city_1,德里,Delhi,德里
india_city_2,孟买,Mumbai,孟買
india_city_3,加尔各答,Kolkata,加爾各答
india_city_4,钦奈,Chennai,欽奈
india_city_5,班加罗尔,Bangalore,班加羅爾
india_city_6,海德拉巴,Hyderabad,海德拉巴
india_city_7,艾哈迈达巴德,Ahmedabad,艾哈邁達巴德
india_city_8,浦那,Pune,浦那
india_city_9,苏拉特,Surat,苏拉特
india_city_10,斋浦尔,Jaipur,齋浦爾
india_city_11,焦特布尔,Jodhpur,焦特布爾
india_city_12,乌代布尔,Udaipur,烏代布爾
india_city_13,瓦拉纳西,Varanasi,瓦拉納西
india_city_14,阿格拉,Agra,阿格拉
india_city_15,勒克瑙,Lucknow,勒克瑙
india_city_16,坎普尔,Kanpur,坎普爾
india_city_17,那格浦尔,Nagpur,那格浦爾
india_city_18,印多尔,Indore,印多爾
india_city_19,博帕尔,Bhopal,博帕爾
india_city_20,维沙卡帕特南,Visakhapatnam,維沙卡帕特南
india_city_21,特里凡得琅,Thiruvananthapuram,特里凡得琅
india_city_22,科钦,Kochi,科欽
india_city_23,特里奇,Tiruchirappalli,特里奇
india_city_24,马杜赖,Madurai,馬杜賴
india_city_25,阿姆利则,Amritsar,阿姆利則
india_city_26,昌迪加尔,Chandigarh,昌迪加爾
india_city_27,卢迪亚纳,Ludhiana,盧迪亞納
india_city_28,贾朗达尔,Jalandhar,賈朗達爾
india_city_29,帕特那,Patna,帕特那
india_city_30,戈勒克布尔,Gorakhpur,戈勒克布爾
india_city_31,阿拉哈巴德,Allahabad,阿拉哈巴德
india_city_32,普拉亚格拉杰,Prayagraj,普拉亞格拉傑
india_city_33,瓦朗加尔,Warangal,瓦朗加爾
india_city_34,纳西克,Nashik,納西克
india_city_35,奥兰加巴德,Aurangabad,奧蘭加巴德
india_city_36,比卡内尔,Bikaner,比卡內爾
india_city_37,斋沙默尔,Jaisalmer,齋沙默爾
india_city_38,普什卡,Pushkar,普什卡
india_city_39,科塔,Kota,科塔
india_city_40,贡伯戈讷姆,Kumbakonam,貢伯戈訥姆
india_city_41,坦贾武尔,Thanjavur,坦賈武爾
india_city_42,科摩林角,Kanyakumari,科摩林角
india_city_43,帕纳吉,Panaji,帕納吉
india_city_44,马尔高,Margao,馬爾高
india_city_45,乌贾因,Ujjain,烏賈因
india_city_46,西姆拉,Shimla,西姆拉
india_city_47,马纳利,Manali,馬納利
india_city_48,达兰萨拉,Dharamshala,達蘭薩拉
india_city_49,斯利那加,Srinagar,斯利那加
india_city_50,查谟,Jammu,查謨
india_city_51,列城,Leh,列城
india_city_52,古尔冈,Gurgaon,古爾岡
india_city_53,古鲁格拉姆,Gurugram,古魯格拉姆
india_city_54,诺伊达,Noida,諾伊達
india_city_55,法里达巴德,Faridabad,法里達巴德
india_city_56,加济阿巴德,Ghaziabad,加濟阿巴德
india_city_57,密拉特,Meerut,密拉特
india_city_58,罗塔克,Rohtak,羅塔克
india_city_59,希萨尔,Hisar,希薩爾
india_city_60,索尼帕特,Sonipat,索尼帕特
india_city_61,巴哈杜尔加尔,Bahadurgarh,巴哈杜爾加爾
india_city_62,帕尼帕特,Panipat,帕尼帕特
india_city_63,卡尔纳尔,Karnal,卡爾納爾
india_city_64,安巴拉,Ambala,安巴拉
india_city_65,昌巴尔市,Chambal City,昌巴爾市
india_city_66,阿杰梅尔,Ajmer,阿傑梅爾
india_city_67,马德拉斯,Madras,馬德拉斯
india_city_68,蒂鲁帕蒂,Tirupati,蒂魯帕蒂
india_city_69,维杰亚瓦达,Vijayawada,維傑亞瓦達
india_city_70,贡土尔,Guntur,貢土爾
india_city_71,内洛尔,Nellore,內洛爾
india_city_72,卡努尔,Kurnool,卡努爾
india_city_73,安纳塔普尔,Anantapur,安納塔普爾
india_city_74,奇托尔加尔,Chittorgarh,奇托爾加爾
india_city_75,果阿市,Goa City,果阿市
india_city_76,达曼,Daman,達曼
india_city_77,第乌,Diu,第烏
india_city_78,希尔瓦萨,Silvassa,希爾瓦薩
india_city_79,阿南德,Anand,阿南德
india_city_80,巴罗达,Vadodara,巴羅達
india_city_81,纳迪亚,Nadia,納迪亞
india_city_82,穆尔希达巴德,Murshidabad,穆爾希達巴德
india_city_83,伯尔迪万,Burdwan,伯爾迪萬
india_city_84,巴尔达曼,Bardhaman,巴爾達曼
india_city_85,兰契,Ranchi,蘭契
india_city_86,贾姆谢德布尔,Jamshedpur,賈姆謝德布爾
india_city_87,布巴内斯瓦尔,Bhubaneswar,布巴內斯瓦爾
india_city_88,普里,Puri,普里
india_city_89,科塔克,Cuttack,科塔克
india_city_90,巴拉索尔,Balasore,巴拉索爾
india_city_91,罗尔凯拉,Rourkela,羅爾凱拉
india_city_92,杜尔加布尔,Durgapur,杜爾加布爾
india_city_93,阿桑索尔,Asansol,阿桑索爾
india_city_94,丹巴德,Dhanbad,丹巴德
india_city_95,欣戈莱,Hingoli,欣戈萊
india_city_96,比贾布尔,Bijapur,比賈布爾
india_city_97,维贾亚普拉,Vijayapura,維賈亞普拉
india_city_98,贝尔高姆,Belgaum,貝爾高姆
india_city_99,贝拉加维,Belagavi,貝拉加維
india_city_100,达瓦纳格尔,Davanagere,達瓦納格爾
india_city_101,哈韦里,Haveri,哈韋里
india_city_102,加达格,Gadag,加達格
india_city_103,比德尔,Bidar,比德爾
india_city_104,赖丘尔,Raichur,賴丘爾
india_city_105,卡尔瓦尔,Karwar,卡爾瓦爾
india_city_106,乌杜皮,Udupi,烏杜皮
india_city_107,芒格洛尔,Mangalore,芒格洛爾
india_city_108,芒格鲁鲁,Mangaluru,芒格魯魯
india_city_109,卡斯戈德,Kasaragod,卡斯戈德
india_city_110,坎纳诺尔,Kannur,坎納諾爾
india_city_111,科泽科德,Kozikode,科澤科德
india_city_112,卡利卡特,Calicut,卡利卡特
india_city_113,马拉普兰,Malappuram,馬拉普蘭
india_city_114,帕塔南蒂塔,Pathanamthitta,帕塔南蒂塔
india_city_115,阿拉普扎,Alappuzha,阿拉普扎
india_city_116,科拉姆,Kollam,科拉姆
india_city_117,奎隆,Quilon,奎隆
india_city_118,蒂鲁内尔维利,Tirunelveli,蒂魯內爾維利
india_city_119,杜蒂戈林,Tuticorin,杜蒂戈林
india_city_120,图蒂库迪,Thoothukudi,圖蒂庫迪
india_city_121,拉梅斯沃勒姆,Rameswaram,拉梅斯沃勒姆
india_city_122,贾巴尔普尔,Jabalpur,賈巴爾普爾
india_city_123,绍拉布尔,Solapur,紹拉布爾
india_city_124,布尔达纳,Buldhana,布爾達納
india_city_125,阿姆劳蒂,Amravati,阿姆勞蒂
india_city_126,法塔赫布尔西格里,Fatehpur Sikri,法塔赫布爾西格里
india_city_127,马图拉,Mathura,馬圖拉
india_city_128,沃林达文,Vrindavan,沃林達文
india_city_129,阿约提亚,Ayodhya,阿約提亞
