key,cz,en,ch
Shanhai_country_1,有扈,Youhu,有扈
Shanhai_country_2,有仍,Youreng,有仍
Shanhai_country_3,孤竹,Guzhu,孤竹
Shanhai_country_4,鬼方,Guifang,鬼方
Shanhai_country_5,犬戎,Quanrong,犬戎
Shanhai_country_6,莱夷,Laiyi,萊夷
Shanhai_country_7,淮夷,Huaiyi,淮夷
Shanhai_country_8,义渠,Yiqu,義渠
Shanhai_country_9,阴楚,Yinchu,陰楚
Shanhai_country_10,临江,Linjiang,臨江
Shanhai_country_11,衡山,Hengshan,衡山
Shanhai_country_12,九江,Jiujiang,九江
Shanhai_country_13,蜀汉,Shuhan,蜀漢
Shanhai_country_14,阳吴,Yangwu,陽吳
Shanhai_country_15,成汉,Chenghan,成漢
Shanhai_country_16,先赵,Xianzhao,先趙
Shanhai_country_17,随赵,Suizhao,隨趙
Shanhai_country_18,先凉,Xianliang,先涼
Shanhai_country_19,先燕,Xianyan,先燕
Shanhai_country_20,先秦,Xianqin,先秦
Shanhai_country_21,随燕,Suiyan,隨燕
Shanhai_country_22,随秦,Suiqin,隨秦
Shanhai_country_23,阴秦,Yinqin,陰秦
Shanhai_country_24,随凉,Suiliang,隨涼
Shanhai_country_25,漓凉,Liliang,漓涼
Shanhai_country_26,朔凉,Shuoliang,朔涼
Shanhai_country_27,漓燕,Liyan,漓燕
Shanhai_country_28,阴凉,Yinliang,陰涼
Shanhai_country_29,朔燕,Shuoyan,朔燕
Shanhai_country_30,朔魏,Shuowei,朔魏
Shanhai_country_31,阳魏,Yangwei,陽魏
Shanhai_country_32,阴魏,Yinwei,陰魏
Shanhai_country_33,朔齐,Shuoqi,朔齊
Shanhai_country_34,朔周,Shuozhou,朔周
Shanhai_country_35,瓦岗,Wagang,瓦崗
Shanhai_country_36,随梁,Suiliang,隨梁
Shanhai_country_37,随唐,Suitang,隨唐
Shanhai_country_38,随晋,Suijin,隨晉
Shanhai_country_39,随汉,Suihan,隨漢
Shanhai_country_40,随周,Suizhou,隨周
Shanhai_country_41,先蜀,Xianshu,先蜀
Shanhai_country_42,随蜀,Suishu,隨蜀
Shanhai_country_43,漓吴,Liwu,漓吳
Shanhai_country_44,漓唐,Litang,漓唐
Shanhai_country_45,吴越,Wuyue,吳越
Shanhai_country_46,闽越,Minyue,閩越
Shanhai_country_47,漓楚,Lichu,漓楚
Shanhai_country_48,漓汉,Lihan,漓漢
Shanhai_country_49,荆漓,Jingli,荊漓
Shanhai_country_50,朔汉,Shuohan,朔漢
Shanhai_country_51,大辽,Daliao,大遼
Shanhai_country_52,阴夏,Yinxia,陰夏
Shanhai_country_53,大金,Dajin,大金
Shanhai_country_54,大理,Dali,大理
Shanhai_country_55,阴辽,Yinliao,陰遼
Shanhai_country_56,夜郎,Yelang,夜郎
Shanhai_country_57,高丽,Gaoli,高麗
Shanhai_country_58,渤海,Bohai,渤海
Shanhai_country_59,河间,Hejian,河間
Shanhai_country_60,剑漓,Jianli,劍漓
Shanhai_country_61,云梦,Yunmeng,雲夢
Shanhai_country_62,函谷,Hangu,函谷
Shanhai_country_63,苍梧,Cangwu,蒼梧
Shanhai_country_64,琅琊,Langya,琅琊
Shanhai_country_65,云中,Yunzhong,雲中
Shanhai_country_66,邺陵,Yeling,鄴陵
Shanhai_country_67,阳海,Yanghai,陽海
Shanhai_country_68,阴山,Yinshan,陰山
Shanhai_country_69,漓阳,Liuyang,漓陽
Shanhai_country_70,朔冥,Shuoming,朔冥
Shanhai_country_71,赤岩,Chiyan,赤岩
Shanhai_country_72,青丘,Qingqiu,青丘
Shanhai_country_73,白水,Baishui,白水
Shanhai_country_74,黑山,Heishan,黑山
Shanhai_country_75,金城,Jincheng,金城
Shanhai_country_76,玉门,Yumen,玉門
Shanhai_country_77,铜陵,Tongling,銅陵
Shanhai_country_78,铁岭,Tieling,鐵嶺
Shanhai_country_79,盐泽,Yanze,鹽澤
Shanhai_country_80,茶马,Chama,茶馬
Shanhai_country_81,牧野,Muye,牧野
Shanhai_country_82,渔阳,Yuyang,漁陽
Shanhai_country_83,陶丘,Taoqiu,陶丘
Shanhai_country_84,有熊,Youxiong,有熊
Shanhai_country_85,神农,Shennong,神農
Shanhai_country_86,高阳,Gaoyang,高陽
Shanhai_country_87,高辛,Gaoxin,高辛
Shanhai_country_88,陶唐,Taotang,陶唐
Shanhai_country_89,有虞,Youyu,有虞
Shanhai_country_90,轩辕,Xuanyuan,軒轅
Shanhai_country_91,烈山,Lieshan,烈山
Shanhai_country_92,金天,Jintian,金天
Shanhai_country_93,共工,Gonggong,共工
Shanhai_country_94,伏羲,Fuxi,伏羲
Shanhai_country_95,女娲,Nvwa,女媧
Shanhai_country_96,有巢,Youchao,有巢
Shanhai_country_97,燧人,Suiren,燧人
Shanhai_country_98,朱襄,Zhuxiang,朱襄
Shanhai_country_99,葛天,Getian,葛天
Shanhai_country_100,少典,Shaodian,少典
Shanhai_country_101,有蟜,Youjiao,有蟜
Shanhai_country_102,阴陵,Yinling,陰陵
Shanhai_country_103,方雷,Fanglei,方雷
Shanhai_country_104,彤鱼,Tongyu,彤魚
Shanhai_country_105,鬼方,Guifang,鬼方
Shanhai_country_106,防风,Fangfeng,防風
Shanhai_country_107,豢龙,Huanlong,豢龍
Shanhai_country_108,御龙,Yulong,禦龍
Shanhai_country_109,豕韦,Shiwei,豕韋
Shanhai_country_110,昆吾,Kunwu,昆吾
Shanhai_country_111,涂山,Tushan,塗山
Shanhai_country_112,有仍,Youreng,有仍
Shanhai_country_113,有鬲,Youge,有鬲
Shanhai_country_114,有穷,Youqiong,有窮
Shanhai_country_115,伯明,Boming,伯明
Shanhai_country_116,斟鄩,Zhenxun,斟鄩
Shanhai_country_117,斟灌,Zhenguan,斟灌
Shanhai_country_118,九黎,Jiuli,九黎
Shanhai_country_119,阳夷,Yangyi,陽夷
Shanhai_country_120,三苗,Sanmiao,三苗
Shanhai_country_121,有扈,Youhu,有扈
Shanhai_country_122,有缗,Youmin,有緡
Shanhai_country_123,畎夷,Quanyi,畎夷
Shanhai_country_124,荤粥,Xunyu,葷粥
Shanhai_country_125,阴康,Yinkang,陰康
Shanhai_country_126,大庭,Dating,大庭
Shanhai_country_127,柏皇,Baihuang,柏皇
Shanhai_country_128,中央,Zhongyang,中央
Shanhai_country_129,栗陆,Lilu,栗陸
Shanhai_country_130,骊连,Lilian,驪連
Shanhai_country_131,赫胥,Hexu,赫胥
Shanhai_country_132,尊卢,Zunlu,尊盧
Shanhai_country_133,昊英,Haoying,昊英
Shanhai_country_134,混沌,Hundun,混沌
Shanhai_country_135,有邰,Youtai,有邰
Shanhai_country_136,无怀,Wuhuai,無懷
Shanhai_country_137,巫咸,Wuxian,巫咸
Shanhai_country_138,巫彭,Wupeng,巫彭
Shanhai_country_139,羲和,Xihe,羲和
Shanhai_country_140,常羲,Changxi,常羲
Shanhai_country_141,盘古,Pangu,盤古
Shanhai_country_142,天皇,Tianhuang,天皇
Shanhai_country_143,地皇,Dihuang,地皇
Shanhai_country_144,人皇,Renhuang,人皇
Shanhai_country_145,钜灵,Juling,鉅靈
Shanhai_country_146,黄神,Huangshen,黃神
Shanhai_country_147,鬼隗,Guikui,鬼隗
Shanhai_country_148,空桑,Kongsang,空桑
Shanhai_country_149,次民,Cimin,次民
Shanhai_country_150,辰放,Chenfang,辰放
Shanhai_country_151,蜀山,Shushan,蜀山
Shanhai_country_152,庸成,Yongcheng,庸成
Shanhai_country_153,中皇,Zhonghuang,中皇
Shanhai_country_154,五龙,Wulong,五龍
Shanhai_country_155,华胥,Huaxu,華胥
Shanhai_country_156,仇夷,Qiuyi,仇夷
Shanhai_country_157,句芒,Goumang,句芒
Shanhai_country_158,重楼,Chonglou,重樓
Shanhai_country_159,老童,Laotong,老童
Shanhai_country_160,青龙,Qinglong,青龍
Shanhai_country_161,赤龙,Chilong,赤龍
Shanhai_country_162,白龙,Bailong,白龍
Shanhai_country_163,黑龙,Heilong,黑龍
Shanhai_country_164,黄龙,Huanglong,黃龍
Shanhai_country_165,飞龙,Feilong,飛龍
Shanhai_country_166,潜龙,Qianlong,潛龍
Shanhai_country_167,居龙,Julong,居龍
Shanhai_country_168,降龙,Xianglong,降龍
Shanhai_country_169,土龙,Tulong,土龍
Shanhai_country_170,水龙,Shuilong,水龍
Shanhai_country_171,大火,Dahuo,大火
Shanhai_country_172,敦火,Dunhuo,敦火
Shanhai_country_173,阴火,Yinhuo,陰火
Shanhai_country_174,朔火,Shuohuo,朔火
Shanhai_country_175,中火,Zhonghuo,中火
Shanhai_country_176,祝融,Zhurong,祝融
Shanhai_country_177,蚩尤,Chiyou,蚩尤
Shanhai_country_178,有娇,Youjiao,有嬌
Shanhai_country_179,青阳,Qingyang,青陽
Shanhai_country_180,丹朱,Danzhu,丹朱
Shanhai_country_181,有莘,Youshen,有莘
Shanhai_country_182,有娀,Yousong,有娀
Shanhai_country_183,亳人,Boren,亳人
Shanhai_country_184,谯人,Qiaoren,譙人
