key,cz,en,ch
youmu_country_xiongnu,匈奴,Xiongnu,匈奴
youmu_country_hun,匈人,Hun,匈人
youmu_country_donghu,东胡,Donghu,東胡
youmu_country_xianbei,鲜卑,Xianbei,鮮卑
youmu_country_rouran,柔然,Rouran,柔然
youmu_country_khitan,契丹,Khitan,契丹
youmu_country_jurchen,女真,Jurchen,女真
youmu_country_hephthalite,赫弗他利特,Hephthalite,赫弗他利特
youmu_country_kidarite,基达里特,Kidarite,基達里特
youmu_country_alchon,阿尔昆,Alchon,阿爾昆
youmu_country_kushan,贵霜,Kushan,貴霜
youmu_country_shatuo,沙陀,Shatuo,沙陀
youmu_country_uyghur,回鹘,Uyghur,回鶻
youmu_country_khazar,可萨,Khazar,可薩
youmu_country_kyrgyz,柯尔克孜,Kyrgyz,柯爾克孜
youmu_country_karluk,葛逻禄,Karluk,葛邏祿
youmu_country_pecheneg,帕切涅格,Pecheneg,帕切涅格
youmu_country_cuman,库曼,Cuman,庫曼
youmu_country_nogai,诺盖,Nogai,諾蓋
youmu_country_kipchak,席普察克,Kipchak,席普察克
youmu_country_bulgar,保加尔,Bulgar,保加爾
youmu_country_magyar,马扎尔,Magyar,馬扎爾
youmu_country_avar,阿瓦尔,Avar,阿瓦爾
youmu_country_tatar,鞑靼,Tatar,鞑靼
youmu_country_bashkir,巴什基尔,Bashkir,巴什基爾
youmu_country_yakut,雅库特,Yakut,雅庫特
youmu_country_chuvash,楚瓦什,Chuvash,楚瓦什
youmu_country_mari,马里,Mari,馬里
youmu_country_udmurt,乌德穆尔特,Udmurt,烏德穆爾特
youmu_country_komi,科米,Komi,科米
youmu_country_mansi,曼西,Mansi,曼西
youmu_country_khanty,汉特,Khanty,漢特
youmu_country_nenets,涅涅茨,Nenets,涅涅茨
youmu_country_chukchi,楚科奇,Chukchi,楚科奇
youmu_country_evenki,鄂温克,Evenki,鄂溫克
youmu_country_dolgan,多尔干,Dolgan,多爾干
youmu_country_selkup,赛尔库卜,Selkup,賽爾庫卜
youmu_country_yukaghir,尤卡吉尔,Yukaghir,尤卡吉爾
youmu_country_oroqen,鄂伦春,Oroqen,鄂倫春
youmu_country_even,鄂温,Even,鄂溫
youmu_country_naiman,奈曼,Naiman,奈曼
youmu_country_merkit,梅尔吉特,Merkit,梅爾吉特
youmu_country_kerait,克莱特,Kerait,克萊特
youmu_country_oirat,鄂叶里雅特,Oirat,鄂葉裡雅特
youmu_country_dorbet,多尔博特,Dorbet,多爾博特
youmu_country_khoshut,科舒特,Khoshut,科舒特
youmu_country_torghut,托尔古特,Torghut,托爾古特
youmu_country_uzemchin,乌曾亲,Uzemchin,烏曾親
youmu_country_khalkha,喀尔喀,Khalkha,喀爾喀
youmu_country_soyot,索尤特,Soyot,索尤特
youmu_country_daur,达斡尔,Daur,達斡爾
youmu_country_yuezhi,月氏,Yuezhi,月氏
youmu_country_wusun,乌孙,Wusun,烏孫
youmu_country_sogdian,粟特,Sogdian,粟特
youmu_country_scythian,斯基泰,Scythian,斯基泰
youmu_country_sarmatian,萨尔马提亚,Sarmatian,薩爾馬提亞
youmu_country_alan,阿兰,Alan,阿蘭
youmu_country_goth,哥特,Goth,哥特
youmu_country_gepid,吉匹德,Gepid,吉匹德
youmu_country_lombard,伦巴德,Lombard,倫巴德
youmu_country_vandal,汪达尔,Vandal,汪達爾
youmu_country_suebi,苏埃比,Suebi,蘇埃比
youmu_country_aorsi,奥尔西,Aorsi,奧爾西
youmu_country_roxolani,罗克萨拉尼,Roxolani,羅克薩拉尼
youmu_country_massagetae,马萨格泰,Massagetae,馬薩格泰
youmu_country_dahae,达灰,Dahae,達灰
youmu_country_saka,萨迦,Saka,薩迦
youmu_country_sabir,萨比尔,Sabir,薩比爾
youmu_country_onogur,鄂诺古尔,Onogur,鄂諾古爾
youmu_country_basmyl,巴斯密尔,Basmyl,巴斯密爾
youmu_country_sarir,萨里尔,Sarir,薩里爾
youmu_country_kangly,康里,Kangly,康里
youmu_country_oguz,乌古斯,Oghuz,烏古斯
youmu_country_tiele,铁勒,Tiele,鐵勒
youmu_country_mongol,蒙古,Mongol,蒙古
youmu_country_nganasan,恩加纳森,Nganasan,恩加納森
youmu_country_yamal,亚马尔,Yamal,亞馬爾
youmu_country_murong,慕容,Murong,慕容
youmu_country_tuyuhun,吐谷浑,Tuyuhun,吐谷渾
youmu_country_xueyantuo,昔延陀,Xueyantuo,昔延陀
youmu_country_tuoba,拓跋,Tuoba,拓跋
youmu_country_chagatai,察合台,Chagatai,察合台
youmu_country_khongirad,孔吉剌,Khongirad,孔吉剌
youmu_country_ongud,翁古德,Ongud,翁古德
youmu_country_cimmerian,基梅里亚,Cimmerian,基梅里亞
youmu_country_manchu,满族,Manchu,滿族
youmu_country_dongxiang,东乡,Dongxiang,東鄉
youmu_country_salar,撒拉,Salar,撒拉
youmu_country_bonan,保安,Bonan,保安
youmu_country_yugur,裕固,Yugur,裕固
youmu_country_turkmen,土库曼,Turkmen,土庫曼
youmu_country_buryat,布里亚特,Buryat,布里亞特
youmu_country_kalmyk,喀尔梅克,Kalmyk,喀爾梅克
youmu_country_dzungar,准噶尔,Dzungar,準噶爾
youmu_country_karakalpak,卡拉卡尔帕克,Karakalpak,卡拉卡爾帕克
youmu_country_ainu,阿伊努,Ainu,阿伊努
youmu_country_sami,萨米,Sami,薩米
youmu_country_tangut,党项,Tangut,黨項
youmu_country_shanrong,山戎,Shanrong,山戎
youmu_country_di,狄,Di,狄
