key,cz,en,ch
Slavonic_city1,别洛格勒,Belgorod,別洛格勒
Slavonic_city2,切尔诺戈尔斯克,Chernogorsk,切爾諾戈爾斯克
Slavonic_city3,诺夫哥罗德,Novgorod,諾夫哥羅德
Slavonic_city4,斯塔罗格勒,Starogorod,斯塔羅格勒
Slavonic_city5,泽莱诺波尔,Zelenopol,澤萊諾波爾
Slavonic_city6,克拉斯诺达尔,Krasnodar,克拉斯諾達爾
Slavonic_city7,斯韦特洛格勒,Svetlogorod,斯韋特洛格勒
Slavonic_city8,捷姆诺斯克,Temnosk,捷姆諾斯克
Slavonic_city9,维索基波尔,Vysokypol,維索基波爾
Slavonic_city10,尼兹尼列斯,Nizhnyles,尼茲尼列斯
Slavonic_city11,德拉科夫格拉德,Drakovgrad,德拉科夫格拉德
Slavonic_city12,沃尔奇斯克,Volchiysk,沃爾奇斯克
Slavonic_city13,索科利诺,Sokolino,索科利諾
Slavonic_city14,马吉奇斯克,Magichsk,馬吉奇斯克
Slavonic_city15,特内沃,Tenevo,特內沃
Slavonic_city16,斯韦特米尔,Svetmir,斯韋特米爾
Slavonic_city17,贝尔莫尔,Belmor,貝爾莫爾
Slavonic_city18,切尔诺列卡,Chernoreka,切爾諾列卡
Slavonic_city19,诺沃卡缅,Novokamen,諾沃卡緬
Slavonic_city20,斯塔罗沃尔,Starovol,斯塔羅沃爾
Slavonic_city21,泽伦斯基,Zelensky,澤倫斯基
Slavonic_city22,克拉斯诺沃德,Krasnovod,克拉斯諾沃德
Slavonic_city23,斯韦特洛列斯,Svetloles,斯韋特洛列斯
Slavonic_city24,捷姆诺多利,Temnodoly,捷姆諾多利
Slavonic_city25,维索科沃,Vysokovo,維索科沃
Slavonic_city26,尼兹赫斯克,Nizhesk,尼茲赫斯克
Slavonic_city27,别洛沃尔,Belovol,別洛沃爾
Slavonic_city28,切尔诺索科尔,Chernosokol,切爾諾索科爾
Slavonic_city29,诺沃特内,Novoten,諾沃特內
Slavonic_city30,斯塔罗马格,Staromag,斯塔羅馬格
Slavonic_city31,泽莱诺米尔,Zelenomir,澤萊諾米爾
Slavonic_city32,克拉斯诺斯韦特,Krasnosvet,克拉斯諾斯韋特
Slavonic_city33,斯韦特洛卡缅,Svetlokamen,斯韋特洛卡緬
Slavonic_city34,捷姆诺沃德,Temnovod,捷姆諾沃德
Slavonic_city35,维索基斯克,Vysokysk,維索基斯克
Slavonic_city36,尼兹尼莫尔,Nizhnymor,尼茲尼莫爾
Slavonic_city37,别洛列卡,Beloreka,別洛列卡
Slavonic_city38,切尔诺卡缅,Chernokamen,切爾諾卡緬
Slavonic_city39,诺沃列斯,Novoles,諾沃列斯
Slavonic_city40,斯塔罗索科尔,Starosokol,斯塔羅索科爾
Slavonic_city41,泽伦沃德,Zelenvod,澤倫沃德
Slavonic_city42,克拉斯诺特内,Krasnoten,克拉斯諾特內
Slavonic_city43,斯韦特洛沃尔,Svetlovol,斯韋特洛沃爾
Slavonic_city44,捷姆诺索科尔,Temnosokol,捷姆諾索科爾
Slavonic_city45,维索基马格,Vysokymag,維索基馬格
Slavonic_city46,尼兹赫列卡,Nizhereka,尼茲赫列卡
Slavonic_city47,别洛索科尔,Belosokol,別洛索科爾
Slavonic_city48,切尔诺马格,Chernomag,切爾諾馬格
Slavonic_city49,诺沃沃尔,Novovol,諾沃沃爾
Slavonic_city50,斯塔罗特内,Staroten,斯塔羅特內
Slavonic_city51,泽莱诺特内,Zelenoten,澤萊諾特內
Slavonic_city52,克拉斯诺索科尔,Krasnosokol,克拉斯諾索科爾
Slavonic_city53,斯韦特洛马格,Svetlomag,斯韋特洛馬格
Slavonic_city54,捷姆诺列斯,Temnoles,捷姆諾列斯
Slavonic_city55,维索基列卡,Vysokyreka,維索基列卡
Slavonic_city56,尼兹尼卡缅,Nizhnykamen,尼茲尼卡緬
Slavonic_city57,别洛特内,Beloten,別洛特內
Slavonic_city58,切尔诺特内,Chernoten,切爾諾特內
Slavonic_city59,诺沃索科尔,Novosokol,諾沃索科爾
Slavonic_city60,斯塔罗马格,Starimag,斯塔羅馬格
Slavonic_city61,泽莱诺沃尔,Zelenovol,澤萊諾沃爾
Slavonic_city62,克拉斯诺马格,Krasnomag,克拉斯諾馬格
Slavonic_city63,斯韦特洛特内,Svetloten,斯韋特洛特內
Slavonic_city64,捷姆诺马格,Temnomag,捷姆諾馬格
Slavonic_city65,维索基特内,Vysokyten,維索基特內
Slavonic_city66,尼兹赫沃尔,Nizhevol,尼茲赫沃爾
Slavonic_city67,别洛马格,Belomag,別洛馬格
Slavonic_city68,切尔诺德拉科,Chernodrako,切爾諾德拉科
Slavonic_city69,诺沃德拉科,Novodrako,諾沃德拉科
Slavonic_city70,斯塔罗德拉科,Starodrako,斯塔羅德拉科
Slavonic_city71,泽莱诺德拉科,Zelenodrako,澤萊諾德拉科
Slavonic_city72,克拉斯诺德拉科,Krasnodrako,克拉斯諾德拉科
Slavonic_city73,斯韦特洛德拉科,Svetlodrako,斯韋特洛德拉科
Slavonic_city74,捷姆诺德拉科,Temnodrako,捷姆諾德拉科
Slavonic_city75,维索基德拉科,Vysokydrako,維索基德拉科
Slavonic_city76,尼兹尼德拉科,Nizhnydrako,尼茲尼德拉科
Slavonic_city77,别洛沃尔夫,Belovolf,別洛沃爾夫
Slavonic_city78,切尔诺沃尔夫,Chernovolf,切爾諾沃爾夫
Slavonic_city79,诺沃沃尔夫,Novovolf,諾沃沃爾夫
Slavonic_city80,斯塔罗沃尔夫,Starovolf,斯塔羅沃爾夫
Slavonic_city81,泽莱诺沃尔夫,Zelenovolf,澤萊諾沃爾夫
Slavonic_city82,克拉斯诺沃尔夫,Krasnovolf,克拉斯諾沃爾夫
Slavonic_city83,斯韦特洛沃尔夫,Svetlovolf,斯韋特洛沃爾夫
Slavonic_city84,捷姆诺沃尔夫,Temnovolf,捷姆諾沃爾夫
Slavonic_city85,维索基沃尔夫,Vysokyvolf,維索基沃爾夫
Slavonic_city86,尼兹赫沃尔夫,Nizhevolf,尼茲赫沃爾夫
Slavonic_city87,别洛索科尔,Belosokol,別洛索科爾
Slavonic_city88,切尔诺索科尔,Chernosokol,切爾諾索科爾
Slavonic_city89,诺沃索科尔,Novosokol,諾沃索科爾
Slavonic_city90,斯塔罗索科尔,Starosokol,斯塔羅索科爾
Slavonic_city91,泽莱诺索科尔,Zelenosokol,澤萊諾索科爾
Slavonic_city92,克拉斯诺索科尔,Krasnosokol,克拉斯諾索科爾
Slavonic_city93,斯韦特洛索科尔,Svetlosokol,斯韋特洛索科爾
Slavonic_city94,捷姆诺索科尔,Temnosokol,捷姆諾索科爾
Slavonic_city95,维索基索科尔,Vysokysokol,維索基索科爾
Slavonic_city96,尼兹尼索科尔,Nizhnysokol,尼茲尼索科爾
Slavonic_city97,别洛列斯,Beloles,別洛列斯
Slavonic_city98,切尔诺列斯,Chernoles,切爾諾列斯
Slavonic_city99,诺沃列斯,Novoles,諾沃列斯
Slavonic_city100,斯塔罗列斯,Staroles,斯塔羅列斯
Slavonic_city101,泽莱诺列斯,Zelenoles,澤萊諾列斯
Slavonic_city102,克拉斯诺列斯,Krasnoles,克拉斯諾列斯
Slavonic_city103,斯韦特洛列斯,Svetloles,斯韋特洛列斯
Slavonic_city104,捷姆诺列斯,Temnoles,捷姆諾列斯
Slavonic_city105,维索基列斯,Vysokyles,維索基列斯
Slavonic_city106,尼兹赫列斯,Nizheles,尼茲赫列斯
Slavonic_city107,别洛波尔,Belopol,別洛波爾
Slavonic_city108,切尔诺波尔,Chernopol,切爾諾波爾
Slavonic_city109,诺沃波尔,Novopol,諾沃波爾
Slavonic_city110,斯塔罗波尔,Staropol,斯塔羅波爾
Slavonic_city111,泽莱诺波尔,Zelenopole,澤萊諾波爾
Slavonic_city112,克拉斯诺波尔,Krasnopol,克拉斯諾波爾
Slavonic_city113,斯韦特洛波尔,Svetlopol,斯韋特洛波爾
Slavonic_city114,捷姆诺波尔,Temnopol,捷姆諾波爾
Slavonic_city115,维索基波尔,Vysokypol,維索基波爾
Slavonic_city116,尼兹尼波尔,Nizhnipol,尼茲尼波爾
Slavonic_city117,别洛多利,Belodoly,別洛多利
Slavonic_city118,切尔诺多利,Chernodoly,切爾諾多利
Slavonic_city119,诺沃多利,Novodoly,諾沃多利
Slavonic_city120,斯塔罗多利,Starodoly,斯塔羅多利
Slavonic_city121,泽莱诺多利,Zelenodoly,澤萊諾多利
Slavonic_city122,克拉斯诺多利,Krasnodoly,克拉斯諾多利
Slavonic_city123,斯韦特洛多利,Svetlodoly,斯韋特洛多利
Slavonic_city124,捷姆诺多利,Temnodoly,捷姆諾多利
Slavonic_city125,维索基多利,Vysokydoly,維索基多利
Slavonic_city126,尼兹赫多利,Nizhedoly,尼茲赫多利
Slavonic_city127,别洛莫尔,Belomor,別洛莫爾
Slavonic_city128,切尔诺莫尔,Chernomor,切爾諾莫爾
Slavonic_city129,诺沃莫尔,Novomor,諾沃莫爾
Slavonic_city130,斯塔罗莫尔,Staromor,斯塔羅莫爾
Slavonic_city131,泽莱诺莫尔,Zelenomor,澤萊諾莫爾
Slavonic_city132,克拉斯诺莫尔,Krasnomor,克拉斯諾莫爾
Slavonic_city133,斯韦特洛莫尔,Svetlomor,斯韋特洛莫爾
Slavonic_city134,捷姆诺莫尔,Temnomor,捷姆諾莫爾
Slavonic_city135,维索基莫尔,Vysokymor,維索基莫爾
Slavonic_city136,尼兹尼莫尔,Nizhnymor,尼茲尼莫爾
Slavonic_city137,别洛列卡,Beloreka,別洛列卡
Slavonic_city138,切尔诺列卡,Chernoreka,切爾諾列卡
Slavonic_city139,诺沃列卡,Novoreka,諾沃列卡
Slavonic_city140,斯塔罗列卡,Staroreka,斯塔羅列卡
Slavonic_city141,泽莱诺列卡,Zelenoreka,澤萊諾列卡
Slavonic_city142,克拉斯诺列卡,Krasnoreka,克拉斯諾列卡
Slavonic_city143,斯韦特洛列卡,Svetloreka,斯韋特洛列卡
Slavonic_city144,捷姆诺列卡,Temnoreka,捷姆諾列卡
Slavonic_city145,维索基列卡,Vysokyrek,維索基列卡
Slavonic_city146,尼兹赫列卡,Nizhereka,尼茲赫列卡
Slavonic_city147,别洛卡缅,Belokamen,別洛卡緬
Slavonic_city148,切尔诺卡缅,Chernokamen,切爾諾卡緬
Slavonic_city149,诺沃卡缅,Novokamen,諾沃卡緬
Slavonic_city150,斯塔罗卡缅,Starokamen,斯塔羅卡緬
Slavonic_city151,泽莱诺卡缅,Zelenokamen,澤萊諾卡緬
Slavonic_city152,克拉斯诺卡缅,Krasnokamen,克拉斯諾卡緬
Slavonic_city153,斯韦特洛卡缅,Svetlokamen,斯韋特洛卡緬
Slavonic_city154,捷姆诺卡缅,Temnokamen,捷姆諾卡緬
Slavonic_city155,维索基卡缅,Vysokykamen,維索基卡緬
Slavonic_city156,尼兹尼卡缅,Nizhnykamen,尼茲尼卡緬
Slavonic_city157,别洛格拉德,Belograd,別洛格拉德
Slavonic_city158,切尔诺格拉德,Chernograd,切爾諾格拉德
Slavonic_city159,诺沃格拉德,Novograd,諾沃格拉德
Slavonic_city160,斯塔罗格拉德,Starograd,斯塔羅格拉德
Slavonic_city161,泽莱诺格拉德,Zelenograd,澤萊諾格拉德
Slavonic_city162,克拉斯诺格拉德,Krasnograd,克拉斯諾格拉德
Slavonic_city163,斯韦特洛格拉德,Svetlograd,斯韋特洛格拉德
Slavonic_city164,捷姆诺格拉德,Temnograd,捷姆諾格拉德
Slavonic_city165,维索基格拉德,Vysokygrad,維索基格拉德
Slavonic_city166,尼兹赫格拉德,Nizhegrad,尼茲赫格拉德
Slavonic_city167,德拉科列斯,Dracoles,德拉科列斯
Slavonic_city168,沃尔奇格拉德,Volchigrad,沃爾奇格拉德
Slavonic_city169,索科利波尔,Sokolpol,索科利波爾
Slavonic_city170,马吉奇列卡,Magichreka,馬吉奇列卡
Slavonic_city171,特内莫尔,Tenemor,特內莫爾
Slavonic_city172,斯韦特米尔斯克,Svetmirsk,斯韋特米爾斯克
Slavonic_city173,贝尔沃德,Belvod,貝爾沃德
Slavonic_city174,切尔诺斯克,Chernosk,切爾諾斯克
Slavonic_city175,诺沃斯克,Novosk,諾沃斯克
Slavonic_city176,斯塔罗斯克,Starosk,斯塔羅斯克
Slavonic_city177,泽伦斯克,Zelensk,澤倫斯克
Slavonic_city178,克拉斯诺斯克,Krasnosk,克拉斯諾斯克
Slavonic_city179,斯韦特洛斯克,Svetlosk,斯韋特洛斯克
Slavonic_city180,捷姆诺斯克,Temnosk,捷姆諾斯克
Slavonic_city181,维索基斯克,Vysokysk,維索基斯克
Slavonic_city182,尼兹尼斯克,Nizhnisk,尼茲尼斯克
Slavonic_city183,别洛沃,Belovo,別洛沃
Slavonic_city184,切尔诺沃,Chernovo,切爾諾沃
Slavonic_city185,诺沃沃,Novovo,諾沃沃
Slavonic_city186,斯塔罗沃,Starovo,斯塔羅沃
Slavonic_city187,泽莱诺沃,Zelenovo,澤萊諾沃
Slavonic_city188,克拉斯诺沃,Krasnovo,克拉斯諾沃
Slavonic_city189,斯韦特洛沃,Svetlovo,斯韋特洛沃
Slavonic_city190,捷姆诺沃,Temnovo,捷姆諾沃
Slavonic_city191,维索基沃,Vysokyvo,維索基沃
Slavonic_city192,尼兹赫沃,Nizhevo,尼茲赫沃
Slavonic_city193,别洛斯克,Belosk,別洛斯克
Slavonic_city194,切尔诺斯克,Chernosk,切爾諾斯克
Slavonic_city195,诺沃斯克,Novosk,諾沃斯克
Slavonic_city196,斯塔罗斯克,Starosk,斯塔羅斯克
Slavonic_city197,泽莱诺斯克,Zelenosk,澤萊諾斯克
Slavonic_city198,克拉斯诺斯克,Krasnosk,克拉斯諾斯克
Slavonic_city199,斯韦特洛斯克,Svetlosk,斯韋特洛斯克
Slavonic_city200,捷姆诺斯克,Temnosk,捷姆諾斯克
Slavonic_city201,维索基斯克,Vysokysk,維索基斯克
Slavonic_city202,尼兹尼斯克,Nizhnisk,尼茲尼斯克
Slavonic_city203,别洛波尔,Belopol,別洛波爾
Slavonic_city204,切尔诺波尔,Chernopol,切爾諾波爾
Slavonic_city205,诺沃波尔,Novopol,諾沃波爾
Slavonic_city206,斯塔罗波尔,Staropol,斯塔羅波爾
Slavonic_city207,泽莱诺波尔,Zelenopol,澤萊諾波爾
Slavonic_city208,克拉斯诺波尔,Krasnopol,克拉斯諾波爾
Slavonic_city209,斯韦特洛波尔,Svetlopol,斯韋特洛波爾
Slavonic_city210,捷姆诺波尔,Temnopol,捷姆諾波爾
Slavonic_city211,维索基波尔,Vysokypol,維索基波爾
Slavonic_city212,尼兹赫波尔,Nizhepol,尼茲赫波爾
Slavonic_city213,别洛列斯,Beloles,別洛列斯
Slavonic_city214,切尔诺列斯,Chernoles,切爾諾列斯
Slavonic_city215,诺沃列斯,Novoles,諾沃列斯
Slavonic_city216,斯塔罗列斯,Staroles,斯塔羅列斯
Slavonic_city217,泽莱诺列斯,Zelenoles,澤萊諾列斯
Slavonic_city218,克拉斯诺列斯,Krasnoles,克拉斯諾列斯
Slavonic_city219,斯韦特洛列斯,Svetloles,斯韋特洛列斯
Slavonic_city220,捷姆诺列斯,Temnoles,捷姆諾列斯
Slavonic_city221,维索基列斯,Vysokyles,維索基列斯
Slavonic_city222,尼兹尼列斯,Nizhnyles,尼茲尼列斯
Slavonic_city223,别洛多利,Belodoly,別洛多利
Slavonic_city224,切尔诺多利,Chernodoly,切爾諾多利
Slavonic_city225,诺沃多利,Novodoly,諾沃多利
Slavonic_city226,斯塔罗多利,Starodoly,斯塔羅多利
Slavonic_city227,泽莱诺多利,Zelenodoly,澤萊諾多利
Slavonic_city228,克拉斯诺多利,Krasnodoly,克拉斯諾多利
Slavonic_city229,斯韦特洛多利,Svetlodoly,斯韋特洛多利
