key,cz,en,ch
arab_clan2_1,哈桑,Hasan,哈桑
arab_clan2_2,侯赛因,Hussein,侯赛因
arab_clan2_3,阿里,Ali,阿里
arab_clan2_4,阿卜杜勒,Abdul,阿卜杜勒
arab_clan2_5,卡里姆,Karim,卡里姆
arab_clan2_6,穆罕默德,Muhammad,穆罕默德
arab_clan2_7,艾哈迈德,Ahmed,艾哈迈德
arab_clan2_8,易卜拉欣,Ibrahim,易卜拉欣
arab_clan2_9,马哈茂德,Mahmood,马哈茂德
arab_clan2_10,哈立德,Khalid,哈立德
arab_clan2_11,奥马尔,Omar,奥马尔
arab_clan2_12,优素福,Yusuf,优素福
arab_clan2_13,萨义德,Saeed,萨义德
arab_clan2_14,塔里克,Tariq,塔里克
arab_clan2_15,贾西姆,Jassim,贾西姆
arab_clan2_16,拉希德,Rashid,拉希德
arab_clan2_17,萨利赫,Saleh,萨利赫
arab_clan2_18,阿迪勒,Adel,阿迪勒
arab_clan2_19,纳赛尔,Nasser,纳赛尔
arab_clan2_20,瓦西姆,Wasim,瓦西姆
arab_clan2_21,法赫德,Fahd,法赫德
arab_clan2_22,巴希尔,Bashir,巴希尔
arab_clan2_23,卡迈勒,Kamal,卡迈勒
arab_clan2_24,马吉德,Majid,马吉德
arab_clan2_25,萨米尔,Samir,萨米尔
arab_clan2_26,亚西尔,Yasser,亚西尔
arab_clan2_27,阿米尔,Amir,阿米尔
arab_clan2_28,法鲁克,Farouk,法鲁克
arab_clan2_29,扎耶德,Zayed,扎耶德
arab_clan2_30,哈尼,Hani,哈尼
arab_clan2_31,伊萨,Isa,伊萨
arab_clan2_32,贾迈勒,Jamal,贾迈勒
arab_clan2_33,拉米,Rami,拉米
arab_clan2_34,纳迪尔,Nadir,纳迪尔
arab_clan2_35,塔米姆,Tamim,塔米姆
arab_clan2_36,瓦利德,Walid,瓦利德
arab_clan2_37,亚辛,Yassin,亚辛
arab_clan2_38,阿巴斯,Abbas,阿巴斯
arab_clan2_39,阿明,Amin,阿明
arab_clan2_40,阿什拉夫,Ashraf,阿什拉夫
arab_clan2_41,巴德尔,Badr,巴德尔
arab_clan2_42,巴萨姆,Bassam,巴萨姆
