key,cz,en,ch
Persepolis_country_1,波斯波利斯,Persepolis,波斯波利斯
Persepolis_country_2,苏萨,Susa,蘇薩
Persepolis_country_3,巴比伦,Babylon,巴比倫
Persepolis_country_4,埃克巴坦那,Ecbatana,埃克巴坦那
Persepolis_country_5,帕萨尔加德,Pasargadae,帕薩爾加德
Persepolis_country_6,萨迪斯,Sardis,薩迪斯
Persepolis_country_7,巴克特拉,Bactra,巴克特拉
Persepolis_country_8,戈尔迪翁,Gordion,戈爾迪翁
Persepolis_country_9,阿拉霍西亚,Arachosia,阿拉霍西亞
Persepolis_country_10,阿尔德里卡,Ardericca,阿爾德里卡
Persepolis_country_11,博里扎,Boryza,博里扎
Persepolis_country_12,塞拉伊奈,Celaenae,塞拉伊奈
Persepolis_country_13,西罗波利斯,Cyropolis,西羅波利斯
Persepolis_country_14,达汉-戈拉曼,Dahan-e Gholaman,達漢-戈拉曼
Persepolis_country_15,达拉布,Darab,達拉布
Persepolis_country_16,达斯库里乌姆,Dascylium,達斯庫里烏姆
Persepolis_country_17,多里库斯,Doriscus,多里庫斯
Persepolis_country_18,埃翁,Eion,埃翁
Persepolis_country_19,甘扎克,Ganzak,甘扎克
Persepolis_country_20,戈纳巴德,Gonabad,戈納巴德
Persepolis_country_21,哈利卡纳苏斯,Halicarnassus,哈利卡納蘇斯
Persepolis_country_22,伊斯法罕,Isfahan,伊斯法罕
Persepolis_country_23,伊苏斯,Issus,伊蘇斯
Persepolis_country_24,伊斯塔赫尔,Istakhr,伊斯塔赫爾
Persepolis_country_25,卡什马尔,Kashmar,卡什馬爾
Persepolis_country_26,纳哈万德,Nahavand,納哈萬德
Persepolis_country_27,内里兹,Neyriz,內里茲
Persepolis_country_28,派希亚乌瓦达,Paishiyauvada,派希亞烏瓦達
Persepolis_country_29,彭吉肯特,Panjakent,彭吉肯特
Persepolis_country_30,雷伊,Ray,雷伊
Persepolis_country_31,乌鲁格德佩,Ulug Depe,烏盧格德佩
Persepolis_country_32,扎德拉卡尔塔,Zadracarta,扎德拉卡爾塔
Persepolis_country_33,阿胡拉扎德,Ahurazad,阿胡拉扎德
Persepolis_country_34,马兹达罗兹,Mazdaroz,馬茲達羅茲
Persepolis_country_35,密特拉巴纳,Mithrabana,密特拉巴納
