key,cz,en,ch
Europa_city_001,巴黎,Paris,巴黎
Europa_city_002,马赛,Marseille,馬賽
Europa_city_003,里昂,Lyon,里昂
Europa_city_004,图卢兹,Toulouse,圖盧茲
Europa_city_005,尼斯,Nice,尼斯
Europa_city_006,南特,Nantes,南特
Europa_city_007,斯特拉斯勃,Strasbourg,斯特拉斯勃
Europa_city_008,波尔多,Bordeaux,波爾多
Europa_city_009,里尔,Lille,里爾
Europa_city_010,雷恩,Rennes,雷恩
Europa_city_011,鲁昂,Rouen,魯昂
Europa_city_012,第戎,Dijon,第戎
Europa_city_013,奥尔良,Orléans,奧爾良
Europa_city_014,图尔,Tours,圖爾
Europa_city_015,昂热,Angers,昂熱
Europa_city_016,格勒诺布尔,Grenoble,格勒諾布爾
Europa_city_017,蒙彼利埃,Montpellier,蒙彼利埃
Europa_city_018,圣艾蒂安,Saint-Étienne,聖艾蒂安
Europa_city_019,土伦,Toulon,土倫
Europa_city_020,勒芒,Le Mans,勒芒
Europa_city_021,阿雅克肖,Ajaccio,阿雅克肖
Europa_city_022,凡尔赛,Versailles,凡爾賽
Europa_city_023,南泰尔,Nanterre,南泰爾
Europa_city_024,克雷泰伊,Créteil,克雷泰伊
Europa_city_025,博比尼,Bobigny,博比尼
Europa_city_026,默伦,Melun,默倫
Europa_city_027,埃夫里,Évry,埃夫里
Europa_city_028,布尔日,Bourges,布爾日
Europa_city_029,沙托鲁,Châteauroux,沙托魯
Europa_city_030,尼奥尔,Niort,尼奧爾
Europa_city_031,拉罗谢尔,La Rochelle,拉羅謝爾
Europa_city_032,普瓦捷,Poitiers,普瓦捷
Europa_city_033,昂古莱姆,Angoulême,昂古萊姆
Europa_city_034,利摩日,Limoges,利摩日
Europa_city_035,盖雷,Guéret,蓋雷
Europa_city_036,蒂勒,Tulle,蒂勒
Europa_city_037,佩里格,Périgueux,佩里格
Europa_city_038,昂古莱姆,Angoulême,昂古萊姆
Europa_city_039,卡昂,Caen,卡昂
Europa_city_040,圣洛,Saint-Lô,聖洛
Europa_city_041,阿朗松,Alençon,阿朗松
Europa_city_042,勒阿弗尔,Le Havre,勒阿弗爾
Europa_city_043,鲁贝,Roubaix,魯貝
Europa_city_044,瓦朗谢讷,Valenciennes,瓦朗謝訥
Europa_city_045,敦刻尔克,Dunkerque,敦刻爾克
Europa_city_046,阿拉斯,Arras,阿拉斯
Europa_city_047,贝桑松,Besancon,貝桑松
Europa_city_048,沃苏勒,Vesoul,沃蘇勒
Europa_city_049,吕尔,Lure,呂爾
Europa_city_050,贝尔福,Belfort,貝爾福
Europa_city_051,米卢斯,Mulhouse,米盧斯
Europa_city_052,科尔马,Colmar,科爾馬
Europa_city_053,梅斯,Metz,梅斯
Europa_city_054,南锡,Nancy,南錫
Europa_city_055,巴勒迪克,Bar-le-Duc,巴勒迪克
Europa_city_056,肖蒙,Chaumont,肖蒙
Europa_city_057,兰斯,Reims,蘭斯
Europa_city_058,香槟沙隆,Châlons-en-Champagne,香檳沙隆
Europa_city_059,特鲁瓦,Troyes,特魯瓦
Europa_city_060,欧塞尔,Auxerre,歐塞爾
Europa_city_061,讷韦尔,Nevers,訥韋爾
Europa_city_062,穆兰,Moulins,穆蘭
Europa_city_063,维希,Vichy,維希
Europa_city_064,克莱蒙费朗,Clermont-Ferrand,克萊蒙費朗
Europa_city_065,勒皮,Le Puy,勒皮
Europa_city_066,布里夫拉盖亚尔德,Brive-la-Gaillarde,布里夫拉蓋亞爾德
Europa_city_067,蒂勒,Tulle,蒂勒
Europa_city_068,盖雷,Guéret,蓋雷
Europa_city_069,蒙托邦,Montauban,蒙托邦
Europa_city_070,阿尔比,Albi,阿爾比
Europa_city_071,罗德兹,Rodez,羅德茲
Europa_city_072,卡尔卡松,Carcassonne,卡爾卡松
Europa_city_073,纳博讷,Narbonne,納博訥
Europa_city_074,贝济耶,Béziers,貝濟耶
Europa_city_075,佩皮尼昂,Perpignan,佩皮尼昂
Europa_city_076,卡尔维,Calvi,卡爾維
Europa_city_077,巴斯蒂亚,Bastia,巴斯蒂亞
Europa_city_078,阿雅克肖,Ajaccio,阿雅克肖
Europa_city_079,卡尔维,Calvi,卡爾維
Europa_city_080,巴斯蒂亚,Bastia,巴斯蒂亞
