key,cz,en,ch
india_country_1,犍陀罗,Gandhara,犍陀羅
india_country_2,摩揭陀,Magadha,摩揭陀
india_country_3,鸯伽,Anga,鴦伽
india_country_4,跋耆,Vajji,跋耆
india_country_5,末罗,Malla,末羅
india_country_6,支提,Chedi,支提
india_country_7,般阇罗,Panchala,般闍羅
india_country_8,居楼,Kuru,居樓
india_country_9,婆蹉,Vatsa,婆蹉
india_country_10,苏罗娑,Surasena,蘇羅娑
india_country_11,阿湿波,Ashvaka,阿濕波
india_country_12,阿槃底,Avanti,阿槃底
india_country_13,甘菩遮,Kamboja,甘菩遮
india_country_14,阿湿摩迦,Ashmaka,阿濕摩迦
india_country_15,迦尸,Kashi,迦屍
india_country_16,拘萨罗,Kosala,拘薩羅
india_country_17,毗提诃,Videha,毗提訶
india_country_18,文伽,Vanga,文伽
india_country_19,卡林加,Kalinga,卡林加
india_country_20,安达罗,Andhra,安達羅
india_country_21,萨塔瓦哈纳,Satavahana,薩塔瓦哈納
india_country_22,朱罗,Chola,朱羅
india_country_23,潘地亚,Pandya,潘地亞
india_country_24,哲罗,Chera,哲羅
india_country_25,帕拉瓦,Pallava,帕拉瓦
india_country_26,遮娄其,Chalukya,遮婁其
india_country_27,拉什特拉库塔,Rashtrakuta,拉什特拉庫塔
india_country_28,霍伊萨拉,Hoysala,霍伊薩拉
india_country_29,维查耶那加尔,Vijayanagara,維查耶那加爾
india_country_30,卡利亚尼遮娄其,KalyanChalukya,卡利亞尼遮婁其
india_country_31,文吉,Vengi,文吉
india_country_32,摩腊婆,Malava,摩臘婆
india_country_33,信度,Sindhu,信度
india_country_34,瞿折罗,Gurjara,瞿折羅
india_country_35,波罗提诃罗,Pratihara,波羅提訶羅
india_country_36,奢羯罗,Sakala,奢羯羅
india_country_37,塔克西拉,Taxila,塔克西拉
india_country_38,马图拉,Mathura,馬圖拉
india_country_39,乌贾因,Ujjain,烏賈因
india_country_40,华氏城,Pataliputra,華氏城
india_country_41,王舍城,Rajgir,王舍城
india_country_42,舍卫城,Shravasti,舍衛城
india_country_43,吠舍离,Vaishali,吠舍離
india_country_44,迦毗罗卫,Kapilavastu,迦毗羅衛
india_country_45,蓝毗尼,Lumbini,藍毗尼
india_country_46,那烂陀,Nalanda,那爛陀
india_country_47,维克拉马希拉,Vikramashila,維克拉馬希拉
india_country_48,萨姆塔塔,Samatata,薩姆塔塔
india_country_49,迪迦,Diga,迪迦
india_country_50,帕拉,Pala,帕拉
india_country_51,森那,Sena,森那
india_country_52,卡玛鲁巴,Kamarupa,卡瑪魯巴
india_country_53,阿萨姆,Assam,阿薩姆
india_country_54,特里普拉,Tripura,特里普拉
india_country_55,曼尼普尔,Manipur,曼尼普爾
india_country_56,奥里萨,Orissa,奧里薩
india_country_57,孟加拉,Bengal,孟加拉
india_country_58,古吉拉特,Gujarat,古吉拉特
india_country_59,拉贾斯坦,Rajasthan,拉賈斯坦
india_country_60,梅瓦尔,Mewar,梅瓦爾
india_country_61,马尔瓦尔,Marwar,馬爾瓦爾
india_country_62,阿杰梅尔,Ajmer,阿傑梅爾
india_country_63,果阿,Goa,果阿
india_country_64,卡纳塔克,Karnataka,卡納塔克
india_country_65,喀拉拉,Kerala,喀拉拉
india_country_66,康坎,Konkan,康坎
india_country_67,科罗曼德尔,Coromandel,科羅曼德爾
india_country_68,索拉什特拉,Saurashtra,索拉什特拉
india_country_69,库奇,Kutch,庫奇
india_country_70,巴尔uch,Baluch,巴爾uch
india_country_71,阿毗耶,Abhaya,阿毗耶
india_country_72,阿底提,Aditi,阿底提
india_country_73,阿耆尼,Agni,阿耆尼
india_country_74,阿拉姆,Aram,阿拉姆
india_country_75,阿罗吒,Aratta,阿羅吒
india_country_76,奥伽,Auga,奧伽
india_country_77,跋罗堕婆,Bharadvaja,跋羅墮婆
india_country_78,跋罗私婆蒂,Brihaspati,跋羅私婆蒂
india_country_79,补罗私底耶,Purushtya,補羅私底耶
india_country_80,达罗毗荼,Dravida,達羅毗荼
india_country_81,陀刹,Taksa,陀刹
india_country_82,迦尔纳,Karna,迦爾納
india_country_83,俱毗罗,Kubera,俱毗羅
india_country_84,安遮罗,Anchala,安遮羅
india_country_85,阿帕拉卡,Aparaka,阿帕拉卡
india_country_86,波德罗,Podra,波德羅
india_country_87,布罗奇,Broach,布羅奇
india_country_88,乔尔,Chor,喬爾
india_country_89,达布蒂,Dabti,達布蒂
india_country_90,达希纳,Dakshina,達希納
india_country_91,达罗,Daro,達羅
india_country_92,德干,Deccan,德干
india_country_93,迪鲁,Dilu,迪魯
india_country_94,东甘贾姆,EastGanjam,東甘賈姆
india_country_95,甘贾姆,Ganjam,甘賈姆
india_country_96,戈达瓦里,Godavari,戈達瓦里
india_country_97,戈帕尔,Gopal,戈帕爾
india_country_98,哈利亚纳,Haryana,哈利亞納
india_country_99,冈伽里代,Gangaridai,岡伽里代
india_country_100,拘尸那揭罗,Kosambi,拘屍那揭羅
india_country_101,比哈尔,Bihar,比哈爾
india_country_102,贾坎德,Jharkhand,賈坎德
india_country_103,恰蒂斯加尔,Chhattisgarh,恰蒂斯加爾
india_country_104,中央,MadhyaPradesh,中央
india_country_105,北方,UttarPradesh,北方
india_country_106,喜马偕尔,HimachalPradesh,喜馬偕爾
india_country_107,查谟克什米尔,JammuAndKashmir,查謨克什米爾
india_country_108,旁遮普,Punjab,旁遮普
india_country_109,俾路支斯坦,Balochistan,俾路支斯坦
india_country_110,卡奇,Kutch,卡奇
india_country_111,科塔,Kota,科塔
india_country_112,斋浦尔,Jaipur,齋浦爾
india_country_113,乌代布尔,Udaipur,烏代布爾
india_country_114,焦特布尔,Jodhpur,焦特布爾
india_country_115,比卡内尔,Bikaner,比卡內爾
india_country_116,班加罗尔,Bangalore,班加羅爾
india_country_117,海德拉巴,Hyderabad,海德拉巴
india_country_118,金奈,Chennai,金奈
india_country_119,孟买,Bombay,孟買
india_country_120,加尔各答,Kolkata,加爾各答
india_country_121,特里凡得琅,Trivandrum,特里凡得琅
india_country_122,科钦,Cochin,科欽
india_country_123,芒格洛尔,Mangalore,芒格洛爾
india_country_124,果阿,Goa,果阿
india_country_125,卡纳塔克,Karnataka,卡納塔克
india_country_126,喀拉拉,Kerala,喀拉拉
india_country_127,泰米尔纳德,TamilNadu,泰米爾納德
india_country_128,安得拉,AndhraPradesh,安得拉
