key,cz,en,ch
good_shihao_xiao,孝,Filial,孝
good_shihao_wen,文,Civil,文
good_shihao_wu,武,Martial,武
good_shihao_zhao,昭,Illustrious,昭
good_shihao_zhong,忠,Loyal,忠
good_shihao_jian,简,Simplicity,簡
good_shihao_cheng,成,Accomplished,成
good_shihao_xian,宪,Constitutional,憲
good_shihao_gong,恭,Respectful,恭
good_shihao_hui,惠,Benevolent,惠
good_shihao_kuan,宽,Tolerant,寬
good_shihao_shen,慎,Cautious,慎
good_shihao_lie,烈,Fervent,烈
good_shihao_qing,清,Pure,清
good_shihao_jing,景,Illustrious,景
good_shihao_xuan,宣,Proclaiming,宣
good_shihao_zhen,贞,Chaste,貞
good_shihao_xian,贤,Virtuous,賢
good_shihao_liang,良,Good,良
good_shihao_li,厉,Stern,厲
good_shihao_yi,毅,Resolute,毅
good_shihao_xi,禧,Auspicious,禧
good_shihao_ling,灵,Spiritual,靈
good_shihao_ming,明,Brilliant,明
good_shihao_xun,训,Instructive,訓
good_shihao_yong,勇,Brave,勇
good_shihao_wen2,温,Gentle,溫
good_shihao_an,安,Peaceful,安
good_shihao_gui,贵,Noble,貴
good_shihao_zhen2,振,Uplifting,振
good_shihao_guang,光,Radiant,光
bad_shihao_shu,恕,Forgiving,恕
bad_shihao_can,残,Cruel,殘
bad_shihao_bao,暴,Violent,暴
bad_shihao_nue,虐,Tyrannical,虐
bad_shihao_xie,亵,Desecrating,褻
bad_shihao_ru,辱,Disgraceful,辱
bad_shihao_jian,僭,Usurping,僭
bad_shihao_jie,桀,Tyrant,桀
bad_shihao_nie,孽,Wicked,孽
bad_shihao_ai,哀,Sorrowful,哀
last_shihao_xian,献,Conferred,獻
last_shihao_mo,末,End,末

good_shihao_duan,端,Upright,端
good_shihao_xian2,显,Prominent,顯
good_shihao_xiang,襄,Assisting,襄
good_shihao_huai,怀,Compassionate,懷
good_shihao_mu,穆,Reverent,穆
good_shihao_ci,慈,Kindhearted,慈
good_shihao_hou,厚,Generous,厚
good_shihao_ke,恪,Respectful,恪
good_shihao_yun,允,Honest,允
good_shihao_ben,本,Fundamental,本
good_shihao_shou,綬,Enduring,綬
good_shihao_xi2,熙,Prosperous,熙
good_shihao_jun,峻,Lofty,峻
good_shihao_yan,偃,Pacifying,偃
good_shihao_jie2,潔,Pure,潔
